basy_yljgid,basy_caption,basy_yydj,flag
510000001848 ,德阳眼科医院,二级乙等,3
510000001866 ,德阳市精神卫生中心,三级乙等,0
510000001868 ,德阳第五医院,二级甲等,0
510000001944 ,德阳新铁医院,一级未定等,0
510000001946 ,中江县人民医院,三级甲等,0
510000001948 ,中江县中医医院,二级甲等,0
510000001952 ,中江县妇幼保健院,二级甲等,0
510000001962 ,德阳市罗江区人民医院,二级甲等,0
510000001964 ,德阳市罗江区中医医院,二级甲等,0
510000001966 ,德阳市罗江区妇幼保健计划生育服务中心（德阳市罗江区妇幼保健院、德阳市罗江区妇女儿童医院）,二级乙等,0
510000001976 ,广汉骨科医院,二级甲等,2
510000001978 ,广汉市人民医院,三级乙等,0
510000001980 ,广汉市妇幼保健院,三级乙等,0
510000001982 ,中国民用航空飞行学院医院,一级未定等,0
510000001984 ,广汉市中医医院,二级甲等,0
510000001990 ,广汉市精神病医院,二级乙等,0
510000001992 ,成都市第六人民医院广汉分院,一级未定等,0
510000001998 ,广汉中山医院,一级未定等,0
510000002002 ,什邡市人民医院,三级乙等,0
510000002004 ,什邡市中医医院,三级乙等,0
510000002008 ,什邡市妇幼保健院,二级甲等,0
510000002012 ,什邡第二医院,二级甲等,0
510000002014 ,什邡仁恒医院,一级未定等,0
510000002016 ,什邡市第四人民医院,未定级未定等,0
510000002020 ,什邡汇杰医院,一级未定等,0
510000002030 ,什邡岷德烧伤医院,一级未定等,0
510000002032 ,绵竹市人民医院,三级乙等,0
510000002036 ,绵竹市中医医院,三级乙等,0
510000002038 ,绵竹市妇幼保健计划生育服务中心,二级甲等,0
510000002044 ,绵竹孙氏医院,一级甲等,0
510000002050 ,绵竹夏骡子骨伤专科医院,一级甲等,2
510000002054 ,德阳市第六人民医院(东汽医院）,二级甲等,0
510000002062 ,绵竹双忠医院,一级未定等,0
510000002064 ,四川绵阳四0四医院,三级甲等,0
510000002066 ,绵阳市中医医院,三级甲等,0
510000002068 ,绵阳市中心医院,三级甲等,4
510000002070 ,绵阳市妇幼保健计划生育服务中心,三级甲等,0
510000002072 ,绵阳高新区医院,二级乙等,0
510000002074 ,绵阳市人民医院,三级乙等,0
510000002076 ,绵阳肿瘤医院,二级甲等,0
510000002078 ,绵阳市肛肠病医院,二级甲等,0
510000002080 ,绵阳市骨科医院,三级乙等,2
