,basy_yydj,basy_ssjczbm1_for_str_4,HAOCAI-only_operation-4-E,JCJY-only_operation-4-E,YP-only_operation-4-E,ZFY-only_operation-4-E,记录条数-only_operation-4
2716,5,44.3,7186.082727272727,6397.858181818182,7202.774090909091,32802.11863636364,22
2717,5,44.4,2429.1966874027994,4983.01698289269,6070.473172628304,21730.47097978227,643
2719,5,44.6,2187.457261904762,5641.044583333333,7820.600833333333,25105.81392857143,168
2721,5,45.0,2742.655238095238,6426.785714285715,8089.14,26365.283333333333,21
2722,5,45.1,174.4258221797323,2652.6650358508605,1369.450284416826,6060.23775334608,4184
2723,5,45.2,180.15674834801763,2588.360790198238,1279.1905864537446,5697.601905286344,3632
2724,5,45.3,1860.8929629629629,2911.750962962963,2403.4151851851852,12207.474444444444,135
2725,5,45.4,768.0972267595483,2154.734818640404,907.5180566898871,6154.98303987509,8326
2726,5,45.6,6875.545492957746,6769.251314553991,7853.340469483568,33424.80605633803,213
2727,5,45.7,8969.08181184669,8535.760487804877,9264.318989547037,41224.49271777004,287
2729,5,45.9,9172.338076923077,7491.761538461538,9198.826153846154,39152.33115384616,26
2731,5,46.1,3179.2719444444447,6368.345416666667,7182.007777777778,26748.455833333333,72
2735,5,46.5,5273.528732394366,4217.980140845071,4874.654788732394,22744.052394366197,142
2737,5,46.7,2959.790386740332,6182.463701657458,7380.383425414364,27004.71580110497,181
2738,5,46.8,4714.4435416666665,4651.779791666667,4920.60125,20735.165624999998,48
2740,5,47.0,1373.6455512943432,2060.493737844131,2024.882466785372,9408.041408026296,7301
2742,5,47.2,1176.8036,2967.86,3406.95,12484.297199999999,25
2745,5,48.2,268.89695238095237,2643.9116666666664,1346.4157142857143,6325.426571428572,210
2746,5,48.3,775.1789682539683,2146.572328042328,980.444360670194,6582.232023809524,2268
2747,5,48.4,1528.8802325581394,1275.402558139535,1821.2799224806204,8860.32976744186,258
2748,5,48.5,8222.108518518518,7637.959444444445,6223.199074074074,36049.36703703704,54
2749,5,48.6,12252.065225933202,8196.559607072692,7650.418035363457,42630.213929273086,509
2750,5,48.7,1455.2811392405065,2301.249746835443,1551.895,11294.40898734177,158
2752,5,48.9,312.7348684210526,1951.736447368421,1414.2206578947369,6967.783026315789,76
2753,5,49.0,343.9490223921355,1358.7110486073184,1593.261785909339,6507.867635172038,1831
2754,5,49.1,368.56954347826087,1324.5793478260869,1329.5167173913044,6335.749108695652,460
2756,5,49.3,729.524791086351,1335.9167409470751,1116.4101671309193,6448.903732590529,359
2757,5,49.4,1130.5451067109318,1284.9518532131847,1337.8899620583352,7210.587430637895,8434
2758,5,49.5,507.8416949152542,1246.6915254237288,1178.244406779661,6333.32779661017,59
2760,5,49.7,380.1802232854864,1325.9508293460926,1350.4505741626795,6541.811259968103,627
2761,5,49.9,249.01264516129032,1194.1987096774192,2138.2920645161294,7059.337290322581,155
2762,5,50.0,1739.614336283186,3173.320088495575,2815.226460176991,13486.843982300887,113
2763,5,50.1,1375.0295798319328,4754.839663865547,3095.1817647058824,12369.730924369747,119
2764,5,50.2,8366.16992,6700.06856,5568.74336,32133.873440000003,125
2765,5,50.3,8610.267122302157,7870.996402877698,8364.924028776977,42103.31258992806,139
2767,5,50.9,3072.6483846153847,5748.122153846154,4906.294846153846,19229.728153846154,130
2768,5,51.0,1748.7184848484849,3903.336363636364,3787.661818181818,14123.143636363637,33
2769,5,51.1,4267.735894736842,4279.3972631578945,3946.4424210526313,18609.163263157894,95
2770,5,51.2,1636.7295770868036,2273.321989635388,1881.944748287988,10393.266518600778,10806
