,basy_yydj,basy_ssjczbm1_for_str_6,age_group,AGE-HAOCAI-only_operation-6-E,AGE-JCJY-only_operation-6-E,AGE-YP-only_operation-6-E,AGE-ZFY-only_operation-6-E,记录条数-only_operation-6
38361,6,72.1x0,3,693.4119444444445,1948.4575555555555,1298.3912222222223,11649.7795,180
38370,6,72.710,2,532.8824561403509,1935.496140350877,865.4875438596491,7409.567192982457,57
38371,6,72.710,3,693.4857777777778,2026.5748888888888,879.7497777777777,8707.159777777777,45
38381,6,73.090,2,295.83855421686746,1576.1277108433735,740.9006024096385,5035.007831325302,83
38382,6,73.090,3,233.07903846153846,1487.7684615384617,706.8357692307692,5085.015384615384,52
38384,6,73.1x0,2,583.1227272727273,1402.3769696969698,720.7421212121212,6400.3090909090915,33
38385,6,73.1x0,3,283.0845454545455,1883.7181818181818,880.9818181818181,6895.359545454546,22
38389,6,73.4x0,2,111.40844919786097,1360.8085828877004,588.712807486631,3425.329705882353,374
38390,6,73.4x0,3,92.92742372881357,1322.9868474576272,706.0108474576272,3404.623322033898,295
38391,6,73.4x0,4,47.66295454545455,1494.9515909090908,483.5475,3288.2488636363637,44
38394,6,73.590,1,244.64695652173913,1316.0521739130436,540.4469565217391,5864.384782608696,23
38395,6,73.590,2,303.3329791976226,1496.2488038632987,704.2004829123329,6545.0525185735505,1346
38396,6,73.590,3,364.32315674891146,1523.1983309143686,819.7375689404936,6901.62568214804,1378
38397,6,73.590,4,313.5715,1698.9983333333332,807.2681666666667,6436.2119999999995,60
38398,6,73.6x0,1,291.0061224489796,1503.4640816326532,816.0071428571429,5251.430204081633,49
38399,6,73.6x0,2,440.9640450254176,1599.3878830791577,784.641510530138,7118.964872912128,2754
38400,6,73.6x0,3,477.5601240401654,1699.0480685174246,897.3157412876551,8200.974819846426,1693
38403,6,73.8x0,2,125.80367346938776,1306.2930612244897,472.45795918367344,3483.6944897959183,49
38404,6,73.8x0,3,242.385875,2046.3086250000001,784.657875,5646.2294999999995,80
38417,6,74.1x0,1,1481.625744680851,2540.4918085106383,2175.987446808511,10967.136382978724,94
38418,6,74.1x0,2,1223.077666002656,1852.0677622841965,1619.2441002656044,10276.727430278885,12048
38419,6,74.1x0,3,1380.5380793692857,1962.315866569498,1724.4483649132105,11588.639558765071,15094
38420,6,74.1x0,4,1555.4464593781345,2230.4446940822468,1989.9242828485455,12852.511735205617,997
38426,6,74.3x0,2,1000.9982203389832,1678.3248305084744,1119.4585593220338,7681.452118644068,118
38427,6,74.3x0,3,1163.490918367347,1953.8520408163265,1122.6160969387756,8820.253979591836,392
38428,6,74.3x0,4,929.4598648648648,2062.413918918919,1160.1244594594593,8337.369864864864,74
38430,6,74.4x0,2,785.4698837209303,1000.8488372093024,1477.615581395349,8997.804418604652,86
38431,6,74.4x0,3,894.86875,946.43,1431.111375,9259.150375000001,80
38434,6,74.910,3,3324.3356666666664,3648.374666666667,2645.9203333333335,19191.171333333335,30
38436,6,74.990,2,1662.6530555555555,2294.546388888889,2685.3130555555554,13782.295555555556,36
38437,6,74.990,3,1214.722972972973,1189.654054054054,1850.3616216216217,9840.017567567567,37
38439,6,75.0x0,1,127.36443037974685,1392.9627848101265,1116.9126582278482,4470.455443037975,79
38440,6,75.0x0,2,147.39887596899226,1410.828062015504,1096.5356782945737,4579.657984496124,516
38441,6,75.0x0,3,155.80637813211845,1622.4976765375854,1132.420637813212,5024.965148063782,439
38442,6,75.0x0,4,82.19067796610169,1329.5574576271185,968.6991525423729,4202.514576271186,59
38450,6,75.340,2,59.04748091603054,1411.8548854961832,327.87946564885493,2621.8795419847324,262
38451,6,75.340,3,59.80479069767442,1448.1406511627906,391.4921860465116,2944.6373488372096,215
38454,6,75.350,3,135.5425,1659.4066666666668,265.29,3412.155,24
38459,6,75.4x0,2,323.6453488372093,1927.5790697674418,1186.549534883721,6737.644186046512,43
38460,6,75.4x0,3,518.7538775510204,2449.941428571429,1921.791224489796,9518.978775510204,49
38465,6,75.510,2,420.6724731182796,1733.1218279569891,793.4162903225806,6607.153440860216,186
38466,6,75.510,3,499.89605504587155,1949.3150458715595,917.8267889908257,7769.544770642202,109
38471,6,75.690,1,302.3455294117647,1522.1136470588235,655.1722352941176,5293.047411764705,85
