,basy_yydj,basy_ssjczbm1_for_str_8,age_group,AGE-HAOCAI-only_operation-8-E,AGE-JCJY-only_operation-8-E,AGE-YP-only_operation-8-E,AGE-ZFY-only_operation-8-E,记录条数-only_operation-8
2274,1,63.1x01,3,554.907358490566,51.37169811320754,664.4079245283019,15933.5579245283,53
2351,1,66.4x02,3,1118.4906896551724,1196.5006896551722,1093.2168965517242,8444.331034482759,29
2355,1,66.5102,3,2387.037317073171,1108.360975609756,1001.8853658536586,10267.115365853659,41
2444,1,68.1200x,2,673.598,808.4,690.029,3907.6053333333334,30
2445,1,68.1200x,3,653.2033333333334,605.6013888888889,586.2008333333333,4053.942222222222,72
2446,1,68.1200x,4,602.9532558139535,1075.7511627906977,566.2730232558139,4195.5597674418605,43
2455,1,68.2101,2,1050.4070588235295,419.5235294117647,584.0614705882354,4921.068529411765,34
2456,1,68.2101,3,1068.4585217391304,337.60347826086957,545.6082608695652,4938.7627826086955,115
2457,1,68.2101,4,1080.5495652173913,490.30434782608694,595.6469565217392,5494.773913043478,23
2482,1,68.2915,3,730.8190625,660.878125,525.865625,4320.37625,32
2594,1,70.7100,2,460.63,1091.3753846153845,375.28576923076923,6707.036923076923,26
2624,1,71.7102,2,518.6968292682927,1328.5352032520325,759.9730081300812,14177.921626016261,123
2625,1,71.7102,3,638.3696296296296,1668.2113888888887,753.5599074074074,17086.118425925928,108
2656,1,73.6x01,2,727.0606944444445,2097.4128472222224,627.2675694444445,12968.087916666665,144
2657,1,73.6x01,3,757.9624637681159,2729.7005797101447,752.3140579710144,17746.86695652174,69
2670,1,74.1x01,2,1065.5991627172195,1423.9472827804107,1378.0576461295418,13203.02682464455,633
2671,1,74.1x01,3,1463.2423871906842,2120.7369868995634,1474.536943231441,19624.335414847163,687
2672,1,74.1x01,4,1952.3654761904763,2891.876904761905,1653.4016666666666,25713.469761904762,42
2674,1,74.1x01 ,2,833.1891304347827,985.7843478260869,1048.880144927536,25228.84579710145,69
2675,1,74.1x01 ,3,840.2513636363636,1089.6267272727273,1178.598090909091,25914.38109090909,110
2691,1,75.0x02,3,576.9434782608696,1536.7921739130436,1133.6865217391305,11356.927391304347,23
2701,1,75.6902,2,850.9858450704226,2706.399718309859,762.4186619718309,19165.190845070425,142
2702,1,75.6902,3,1227.0849206349205,3275.1628571428573,861.2421164021165,24511.897248677247,189
2898,1,78.6103,5,1509.9604545454547,1088.360909090909,856.4572727272728,5655.366818181818,22
2910,1,78.6201,5,540.9774193548387,1152.586129032258,1019.4574193548387,4635.683870967742,31
2920,1,78.6301,5,1891.6953571428571,1047.6382142857142,830.6346428571429,5756.4178571428565,28
2944,1,78.6501,5,2999.415555555556,1127.6055555555556,1430.6119444444444,8044.259999999999,36
2953,1,78.6601,5,842.86,958.4092307692307,1312.945,4882.318461538462,26
