,basy_zyzd_jbbm_for_str_4,basy_yydj,HAOCAI-4-only_disease-E,JCJY-4-only_disease-E,YP-4-only_disease-E,ZFY-4-only_disease-E,记录条数-4-only_disease
456,C34.,2,2421.8982954545454,3057.1775,5567.6530681818185,15750.754772727272,88
457,C34.,3,2729.1657237715804,3950.3642895086323,4842.558685258964,16230.842324037185,753
458,C34.,4,3179.8661171366593,6057.419652928416,4395.908004338395,35027.71726681128,461
459,C34.,5,5238.561286337209,5162.923430232558,3811.801929505814,20343.85593023256,2752
460,C34.,6,10357.995053530462,7393.243485852664,4426.311452969666,32477.737211317868,15692
466,C37.,6,5398.002647058824,6002.992205882353,5919.698529411765,28104.34764705882,68
472,C38.,6,4241.8895172413795,8021.840620689654,4824.00248275862,27377.483103448274,145
480,C40.,6,7163.546161616162,5399.554646464647,3700.086868686869,37748.379393939395,99
486,C41.,6,14310.738068181818,8383.465681818181,6261.642386363636,52776.306818181816,88
491,C43.,5,862.8866666666667,3206.68,3561.3638095238093,12090.344761904762,21
492,C43.,6,1648.3090163934428,4831.655573770492,2581.242131147541,19107.48024590164,122
495,C44.,3,832.2825806451613,2487.1564516129033,1552.6170967741937,9646.35806451613,31
497,C44.,5,917.6175510204082,3568.293469387755,2225.9010204081633,12002.251836734693,49
498,C44.,6,2170.4713053613054,3942.308205128205,2286.4242424242425,16097.711328671328,429
504,C45.,6,2694.024848484849,6838.129393939394,6895.913030303031,22210.46303030303,33
514,C48.,6,6359.081780821917,9391.875,8047.5387671232875,39363.41212328767,146
519,C49.,5,2078.7978125,4318.27,2281.89,13276.029375,32
520,C49.,6,4038.409279661017,5970.316186440678,4018.205889830508,24689.804576271184,236
521,C50.,1,4127.379534883721,1745.8953488372092,8355.77023255814,28092.757906976745,43
522,C50.,2,757.3604545454546,3015.2204545454547,3291.933636363636,12034.144545454545,22
523,C50.,3,1684.9124561403507,4086.968947368421,3583.7090350877193,14639.462192982455,114
524,C50.,4,935.6794871794872,6019.426923076922,2170.9158974358975,17048.090854700855,117
525,C50.,5,1782.670342052314,4867.502293762575,2562.004426559356,14719.16171026157,497
526,C50.,6,3499.603460394701,7242.280254122736,3042.119816166531,20974.95535009462,3699
531,C51.,6,2228.8944444444446,5789.518333333333,3219.5044444444443,23210.939444444444,54
535,C52.,6,1978.9742857142858,6625.511904761905,3807.704761904762,25665.969523809523,21
536,C53.,1,1338.2247560975609,978.7792682926829,6620.74256097561,20252.683414634146,82
538,C53.,3,1629.1906521739131,3923.462282608696,3260.730108695652,17564.87456521739,92
539,C53.,4,1840.0863636363638,4172.556363636364,4019.4440909090913,19526.478181818184,22
540,C53.,5,2219.7906944444444,5003.139305555556,3680.898958333333,20279.920590277776,288
541,C53.,6,3631.2111457670276,7213.769242520688,3930.101890515595,29179.461514958624,1571
544,C54.,3,1904.9504545454547,5154.106590909091,2564.9779545454544,17094.52568181818,44
546,C54.,5,2412.6582914572864,6067.332261306533,2794.8333165829144,20755.806331658292,199
547,C54.,6,4131.099035476718,8141.781829268292,3625.403203991131,29968.315133037693,902
551,C55.,6,3648.4073529411767,7651.173382352941,4045.1635294117646,27351.738823529413,68
552,C56.,1,2831.2037142857143,2410.6857142857143,7126.102,20352.041714285715,35
554,C56.,3,1422.888043478261,4042.1934782608696,2844.8252173913047,13439.159565217391,46
556,C56.,5,1552.9073099415207,5356.157076023392,3761.68567251462,17839.116315789473,171
557,C56.,6,5628.779431939978,8698.099603429797,6446.702154340836,33542.4252733119,933
563,C57.,6,6923.354382022472,9151.712471910112,5894.122359550562,36015.081460674155,89
570,C60.,5,1305.0154545454545,3395.026818181818,2457.696590909091,12608.717499999999,44
571,C60.,6,1610.2491,4531.3747,3512.4081,15842.446000000002,100
574,C61.,3,1626.9944660194174,3883.127281553398,4311.883300970873,14598.549708737864,103
575,C61.,4,1331.38734375,4623.1684375,3043.18046875,21572.5325,64
576,C61.,5,1994.0871098265895,4389.794450867053,3410.2964739884396,15094.760953757226,346
577,C61.,6,3054.860892508143,6499.068397394137,3777.0636416938114,26354.93496416938,1535
