,basy_zyzd_jbbm_for_str_7,basy_yydj,HAOCAI-7-only_disease-E,JCJY-7-only_disease-E,YP-7-only_disease-E,ZFY-7-only_disease-E,记录条数-7-only_disease
14179,I48.000,6,32420.08202453988,3935.184417177914,1736.901472392638,42259.0009202454,163
14183,I48.100,6,35414.96036363637,5280.211272727272,3210.0719999999997,47777.382545454544,55
14195,I48.900,3,47.2046875,1486.9496875,795.6159375,3568.743125,32
14198,I48.900,6,5726.136666666667,2697.7502298850573,1799.2724137931036,11782.114712643677,87
14201,I48.x00,3,3721.8786764705883,2321.182647058824,1059.9257352941177,8723.32705882353,68
14202,I48.x00,4,2703.0209090909093,2710.3260606060603,1237.921818181818,11760.968787878786,33
14203,I48.x00,5,11876.299054054054,2749.4811486486487,1794.1090540540542,19136.684391891893,148
14204,I48.x00,6,36475.002006745366,4783.379089376053,1770.478912310287,57611.90908937606,1186
14207,I48.x01,3,112.97169491525423,1924.8872881355933,1266.1830508474577,4771.1825423728815,59
14209,I48.x01,5,2442.1873684210527,2331.0194736842104,1370.6311578947368,8127.315052631579,95
14210,I48.x01,6,20301.676981818182,4556.592981818182,2262.1648,35683.12323636364,275
14212,I48.x02,3,4333.276756756757,2625.6786486486485,1111.1602702702703,10749.072702702702,37
14214,I48.x02,5,10976.881481481481,2404.101111111111,1220.913111111111,17342.817925925927,135
14215,I48.x02,6,32277.054812398044,4819.95924959217,1733.6105383360523,44253.533327895595,613
14219,I48.x03,6,24650.568900000002,4473.1511,1329.0897,37036.4598,100
14223,I48.x04,6,19657.800163934426,4198.789508196722,1243.5252459016392,29160.69131147541,61
14232,I49.001,6,15662.919047619047,7949.660476190476,3965.2457142857143,38268.40714285715,42
14236,I49.100,3,41.32,1959.0476744186046,531.1862790697674,3148.4769767441862,43
14238,I49.100,5,284.98197674418606,2347.3569767441863,911.064534883721,4648.61023255814,86
14239,I49.100,6,1811.5488120950324,3309.552246220302,974.5457451403887,7992.579848812095,463
14247,I49.300,3,83.46211267605635,2063.1515492957747,849.7330985915494,3979.4918309859154,71
14248,I49.300,4,128.51481481481483,2302.3533333333335,905.5840740740741,4550.204444444445,27
14249,I49.300,5,3041.0160144927536,2287.5048550724637,895.7142753623189,7864.330652173912,138
14250,I49.300,6,11053.944124031008,3238.595023255814,848.8192868217055,17930.278914728682,645
14255,I49.301,6,14787.312162162163,3948.1132432432432,1201.4116216216216,22508.628108108107,74
14261,I49.302,6,12630.359765625,2756.972109375,341.96023437499997,27221.899140625,128
14266,I49.400,6,1673.0013636363635,2946.364545454546,881.9559090909092,7457.721818181818,22
14274,I49.500,3,3471.3510344827587,2814.8189655172414,1435.4013793103447,9964.038965517242,29
14275,I49.500,4,13171.540789473684,3379.41,1426.042105263158,25832.312105263158,38
14276,I49.500,5,17282.64530973451,3053.182168141593,1629.4058407079644,25894.762079646014,226
14277,I49.500,6,26342.364168207027,4449.128160813309,1664.1518946395565,38674.68655268022,1082
14290,I49.801,6,1806.5633333333333,2278.9548148148147,1483.3488888888887,7141.514074074074,27
14296,I49.802,6,2599.5155555555557,3149.340740740741,1545.8866666666668,9115.242222222223,27
14300,I49.900,2,53.17051724137931,1812.0860344827588,1218.6956896551726,4099.7198275862065,58
14301,I49.900,3,87.66717948717948,2088.3222564102566,1102.487435897436,4541.55276923077,195
14302,I49.900,4,79.55016129032258,2449.139677419355,1013.1312903225806,4766.827580645161,62
14303,I49.900,5,631.7702352941177,2169.688617647059,1246.502794117647,5919.550117647059,340
14304,I49.900,6,1782.478156862745,2897.5977254901964,1331.4655686274511,7995.519764705882,255
14305,I50.000,1,102.33964285714285,1496.8178571428573,2045.0060714285714,4964.988214285715,28
14306,I50.000,2,109.5025,1720.8183536585368,2645.634817073171,6137.89518292683,164
14307,I50.000,3,91.61502673796791,2149.391657754011,2898.934331550802,7573.461203208555,374
14308,I50.000,4,161.885,3407.4713636363635,1916.3410000000001,7374.794545454546,220
14309,I50.000,5,197.8115259537211,2513.3650406504066,2506.4702876798,7464.26138836773,1599
14310,I50.000,6,713.4696909492275,3781.5215783664457,3379.5770198675496,11073.188554083885,906
14316,I50.001,6,687.2017142857143,4015.856857142857,3611.1994285714286,11582.147714285713,35
14317,I50.002,1,177.20076923076923,1527.924358974359,2296.5169230769234,5472.967435897436,39
14318,I50.002,2,1166.3064285714286,1971.542857142857,2171.9725,7250.583571428571,28
14319,I50.002,3,663.4293700787401,2522.896220472441,2717.3182677165355,8245.45496062992,127
14321,I50.002,5,197.95561151079136,2257.0496043165467,2542.8773741007194,6960.548057553957,278
14322,I50.002,6,584.8362340966921,3779.8742748091604,3620.83155216285,11638.818676844785,393
14327,I50.100,5,148.3153125,2266.465625,2350.13875,6798.2609375,32
14328,I50.100,6,1086.4931386861313,3152.587810218978,3077.2054014598543,10325.758102189782,137
14329,I50.101,1,189.7076,2310.2752,4035.5217599999996,8586.003439999999,125
14330,I50.101,2,153.70975609756098,2077.3,2006.6126829268292,5665.414634146341,41
14331,I50.101,3,237.2824528301887,2827.5383018867924,2341.5808805031447,7662.336666666667,159
14332,I50.101,4,803.2495121951221,4103.114634146342,2707.4378048780486,11210.093658536585,41
14333,I50.101,5,568.0102253032929,3048.7016117850953,2952.0638128249566,9726.361039861353,577
14334,I50.101,6,1316.5308321377331,5128.774289813487,4523.774289813487,14743.470071736012,697
14337,I50.103,3,139.81645161290325,2211.42064516129,3159.133870967742,8129.650967741935,31
14339,I50.103,5,509.61887096774194,3291.907580645161,2816.1667741935485,9569.861451612904,62
14340,I50.103,6,741.1243939393939,5142.654772727273,5811.291742424242,15730.775,132
14346,I50.105,1,109.96719999999999,1618.884,2892.2084000000004,6886.3884,25
14347,I50.105,2,23.27529411764706,1986.5823529411766,2577.048529411765,6026.818235294118,34
14348,I50.105,3,34.28095890410959,2553.5794520547943,3544.868835616438,14810.395273972603,146
14350,I50.105,5,195.204,2130.8160000000003,1484.3552,5699.689200000001,25
14351,I50.105,6,184.15827586206896,3511.8093103448277,1727.1189655172413,7792.6824137931035,29
14352,I50.900,1,133.53556603773583,1674.0753144654086,2899.2237735849058,7324.461226415094,318
14353,I50.900,2,129.17167901234566,1927.9905061728396,2669.2041851851855,6393.675296296296,810
14354,I50.900,3,148.72746011211729,2466.58857266063,2065.643794739112,6824.732048296679,2319
