,basy_zyzd_jbbm_for_str_6,basy_yydj,basy_ssjczbm1_for_str_6,age_group,AGE-HAOCAI-6-6-E,AGE-JCJY-6-6-E,AGE-YP-6-6-E,AGE-ZFY-6-6-E,记录条数-6-6
7666,C06.00,6,27.490,8,16104.998571428572,7708.299047619048,5594.314761904762,51355.95238095238,21
8027,C11.90,6,29.120,5,1632.1811538461538,7601.607692307692,2477.591923076923,17359.007307692307,26
8088,C11.90,6,99.250,5,1729.1968,6561.159799999999,3664.6116,15347.295,50
8089,C11.90,6,99.250,6,1735.3657692307693,7320.641153846154,3568.2615384615387,15061.543846153847,26
8340,C15.10,5,42.420,6,22174.38409090909,10393.239090909092,9395.96409090909,62934.32772727273,22
8384,C15.10,6,,6,390.5520512820513,3608.116153846154,1864.4884615384617,7349.01564102564,39
8385,C15.10,6,,8,416.4307843137255,3707.2725490196076,1758.501568627451,7082.9815686274505,51
8443,C15.10,6,42.410,5,26529.001519999998,11677.92384,15058.004,74769.84079999999,125
8444,C15.10,6,42.410,6,25406.115620915032,13116.88248366013,15262.509607843138,78095.8148366013,153
8445,C15.10,6,42.410,8,24680.52496402878,12837.390575539568,14607.427194244605,76400.4873381295,139
8490,C15.10,6,45.160,8,907.3255555555556,5250.851851851852,4196.933333333333,13213.26888888889,27
8521,C15.10,6,99.250,6,1193.266956521739,5186.604347826086,2510.3273913043477,11294.244347826087,23
8522,C15.10,6,99.250,8,811.2257142857143,4118.382142857143,3674.717857142857,11615.7825,28
8634,C15.40,6,42.410,5,23268.03980769231,9659.434807692307,12009.642884615385,74051.095,52
8635,C15.40,6,42.410,6,22337.036125000002,10260.316499999999,12383.63925,76075.54325,80
8636,C15.40,6,42.410,8,22455.633333333335,11085.67356321839,11668.312298850575,78095.19114942529,87
8722,C15.50,6,42.410,5,23587.274999999998,10123.451666666666,15184.767083333334,77051.93583333334,24
8723,C15.50,6,42.410,6,26844.79651162791,11466.138372093024,15180.016046511626,85134.81069767442,43
8724,C15.50,6,42.410,8,25561.977096774193,14571.64258064516,21366.33709677419,99887.5129032258,31
8853,C15.80,6,42.410,5,25889.23125,9432.312916666668,13398.445416666667,73962.95875,24
8854,C15.80,6,42.410,6,25303.018979591834,10953.769795918366,14398.167346938775,78163.71265306123,49
8855,C15.80,6,42.410,8,26621.0265625,14113.3075,15459.4540625,85138.614375,32
9028,C15.90,5,,8,661.78275,2888.7712500000002,3034.2155,9836.74625,40
9127,C15.90,6,,5,467.57047619047626,2951.6438095238095,3833.8190476190475,10649.037142857143,21
9128,C15.90,6,,6,395.88666666666666,3896.8748484848484,3312.209393939394,9631.02696969697,33
9129,C15.90,6,,8,418.217,3915.5302,2581.4410000000003,8989.996799999999,50
9130,C15.90,6,,9,508.80290322580646,3741.4309677419355,4030.7996774193552,11764.508387096774,31
9191,C15.90,6,42.410,6,22662.6632,11925.5116,14416.1052,72700.8812,25
9192,C15.90,6,42.410,8,22703.33730769231,13810.632307692307,13767.507307692307,74167.455,26
9202,C15.90,6,42.810,8,6324.168888888888,3478.892962962963,2397.758888888889,15347.102962962961,27
9220,C15.90,6,44.130,8,502.7309090909091,3597.1531818181816,2873.036818181818,9527.983181818183,22
9391,C16.00,6,,8,365.26733333333334,3997.7926666666667,1943.5036666666667,7551.622666666666,30
9437,C16.00,6,43.5x0,5,21046.662083333333,9892.69125,12334.982083333334,69295.37666666666,24
9438,C16.00,6,43.5x0,6,19453.39153846154,10114.313076923077,11369.059230769231,64499.933589743596,39
9439,C16.00,6,43.5x0,8,19462.65525,10655.288,10077.9155,62043.750250000005,40
9459,C16.00,6,43.990,5,24848.064444444444,11330.162962962964,9410.672222222222,67872.69518518519,27
9460,C16.00,6,43.990,6,24346.320847457628,11302.479152542373,10365.716440677967,69617.43711864407,59
9461,C16.00,6,43.990,8,21581.915490196076,11291.02431372549,9031.171372549019,66057.49705882353,51
9472,C16.00,6,44.140,8,406.95000000000005,5109.3099999999995,2044.4657692307692,9780.128846153846,26
9526,C16.00,6,99.250,8,969.335,5541.9608333333335,3987.5262500000003,13926.102916666665,24
9699,C16.20,6,43.990,5,25294.745333333332,10391.089777777777,11158.454,70113.62066666667,45
9700,C16.20,6,43.990,6,22551.687027027026,13434.929999999998,15850.83837837838,80426.11324324324,37
9701,C16.20,6,43.990,8,25722.07285714286,14894.31857142857,17395.30964285714,84046.78535714287,28
9879,C16.30,6,43.7x0,4,25916.995,8756.253636363635,10024.414090909091,62275.35727272728,22
9880,C16.30,6,43.7x0,5,26229.563578947367,11636.774947368422,12022.89894736842,72252.79652631578,95
9881,C16.30,6,43.7x0,6,27531.0962,10766.1337,12273.4063,70257.88889999999,100
9882,C16.30,6,43.7x0,8,24187.088902439024,12633.493170731708,13368.831219512194,72273.05292682926,82
9907,C16.30,6,44.140,8,457.41238095238094,5576.232857142857,2777.9823809523814,11935.143333333333,21
10037,C16.50,6,43.7x0,5,26398.478387096777,8953.423870967743,10622.588064516129,67128.63516129032,31
10038,C16.50,6,43.7x0,6,25591.166896551724,10763.57827586207,11257.197586206896,68586.73448275862,29
10220,C16.90,3,,8,353.7657142857143,2652.5961904761907,5331.988571428572,12380.705714285714,21
10417,C16.90,6,,5,631.3642307692309,3964.5246153846156,4369.586153846154,12559.714615384615,26
10418,C16.90,6,,6,394.8933333333334,3636.2157575757574,2867.3933333333334,9625.535454545454,33
10419,C16.90,6,,8,501.5722448979592,4401.1926530612245,4704.078775510204,13524.198775510204,49
10420,C16.90,6,,9,628.9602857142858,4378.670571428572,5825.007714285714,15591.014285714286,35
10470,C16.90,6,43.7x0,5,21105.431666666667,10103.785555555556,8971.271666666667,57492.58638888889,36
10471,C16.90,6,43.7x0,6,22827.205106382975,9616.869361702127,9556.58659574468,58533.71382978723,47
10472,C16.90,6,43.7x0,8,20674.187741935486,10720.760967741937,8974.435806451613,60157.34129032258,31
10484,C16.90,6,43.990,5,25023.14548387097,9322.72129032258,10965.41064516129,65249.80290322581,31
10485,C16.90,6,43.990,6,24515.196904761906,12775.849523809526,14985.29523809524,75587.42452380953,42
10486,C16.90,6,43.990,8,20883.148181818182,11364.945454545454,9285.01,62930.07318181819,22
10491,C16.90,6,44.130,8,629.6433333333333,5453.234583333334,2747.9125,11880.925833333335,24
10496,C16.90,6,44.140,6,1166.7228571428573,7124.180952380952,4363.746666666666,16534.930476190475,21
10497,C16.90,6,44.140,8,1836.1473913043478,6163.291304347827,3017.610434782609,15096.301304347826,23
10704,C17.00,6,52.7x0,6,20508.25,17135.396363636366,25338.98318181818,98748.98681818182,22
10887,C18.00,6,45.730,8,14180.961785714286,10168.023928571429,11041.569642857143,51984.142857142855,28
11049,C18.20,6,17.330,4,12529.981904761904,8523.995714285715,7883.788095238095,46136.015238095235,21
11050,C18.20,6,17.330,5,14785.06043478261,8303.680434782607,8181.614347826087,48456.004347826085,69
11051,C18.20,6,17.330,6,15879.753289473685,10227.747894736842,9395.276447368422,54302.69671052632,76
11052,C18.20,6,17.330,8,15424.493214285714,10798.65119047619,10305.514047619046,56494.139285714286,84
11053,C18.20,6,17.330,9,14940.747333333333,14491.973,12099.679,64868.77033333333,30
11105,C18.20,6,45.730,5,13197.96243902439,11791.109756097561,10986.345609756097,55470.652682926826,41
11106,C18.20,6,45.730,6,13413.803666666667,9349.353333333333,9960.068333333333,50083.933333333334,30
11107,C18.20,6,45.730,8,11933.452452830188,10990.905471698114,9270.058301886793,49726.930943396226,53
11108,C18.20,6,45.730,9,13384.218055555555,13139.010277777777,13901.533333333333,60959.174722222226,36
11200,C18.30,6,17.330,5,17957.396896551723,8564.270689655172,8619.150689655173,51022.17068965517,29
11201,C18.30,6,17.330,6,15663.2359375,9493.5053125,8703.6365625,48468.376875,32
