,basy_zyzd_jbbm_for_str_5,basy_yydj,HAOCAI-5-only_disease-E,JCJY-5-only_disease-E,YP-5-only_disease-E,ZFY-5-only_disease-E,记录条数-5-only_disease
839,C16.8,6,13502.973715846994,8689.653825136611,8389.858961748634,45035.34081967213,183
840,C16.9,1,4656.602244897959,3352.218367346939,9353.470204081632,25092.058979591835,49
841,C16.9,2,1988.512962962963,2613.337037037037,7206.472222222223,16476.350370370372,27
842,C16.9,3,3678.6719459459464,4068.3239459459464,5071.4329729729725,18059.922324324325,185
843,C16.9,4,3393.262222222222,5899.565777777778,8170.169777777778,37303.81,45
844,C16.9,5,5703.983293650794,5126.185753968254,5001.47626984127,22893.259365079368,252
845,C16.9,6,8381.790331905782,7060.228800856531,6681.06528907923,31628.0302248394,934
849,C17.0,5,6009.450384615386,8163.757692307693,9413.39423076923,35458.26807692308,26
850,C17.0,6,12593.64403726708,10941.787080745342,14858.495403726707,58696.28428571428,161
854,C17.1,6,11285.8528,8782.735999999999,7524.9184,41868.992399999996,25
858,C17.2,6,9854.085833333333,8850.469583333334,7693.24875,38714.79791666667,24
866,C17.9,6,11051.077428571429,9303.84742857143,8639.399428571429,42467.099714285716,35
871,C18.0,5,5991.8965384615385,6163.209615384616,6273.921923076923,28693.04903846154,52
872,C18.0,6,10668.36,8504.462572815533,8542.201359223302,41473.02203883495,206
876,C18.1,6,10609.21152173913,6648.449130434782,8020.725217391304,37589.26282608696,46
879,C18.2,3,7744.843953488372,6709.956279069767,7604.539302325581,32852.65534883721,43
881,C18.2,5,8093.041048387096,7592.495080645162,5824.897096774193,32597.46814516129,124
882,C18.2,6,10936.872155172414,9226.797629310346,8616.862327586206,43970.6266954023,696
886,C18.3,5,10173.925283018869,8173.0220754716975,8570.74716981132,40775.66018867924,53
887,C18.3,6,13165.14668896321,10395.531973244148,10226.650735785952,49831.753143812704,299
892,C18.4,5,8096.368448275862,8561.381551724138,6623.128103448275,36597.276551724135,58
893,C18.4,6,11406.652366071428,8539.04799107143,7903.895267857143,42465.446696428575,224
898,C18.5,6,11658.597469879518,8991.322891566266,7595.782530120481,44828.1778313253,83
903,C18.6,5,7681.72794117647,6711.617941176471,8933.32794117647,35998.42970588236,34
904,C18.6,6,11105.300802139038,8718.53331550802,7767.138930481284,41315.39144385027,187
907,C18.7,3,6292.386091954023,5982.401609195403,6037.0863218390805,28253.283218390807,87
908,C18.7,4,6398.778823529412,5653.534411764706,7013.6114705882355,37241.42588235294,34
909,C18.7,5,7876.852712765958,6680.45574468085,6725.070744680851,31461.87856382979,188
910,C18.7,6,11465.262536534447,8219.514551148226,7796.781649269311,41599.638559498955,958
916,C18.8,6,14754.580416666666,8868.914583333333,10401.996041666667,49193.9025,48
917,C18.9,1,3358.6602702702703,2121.012162162162,6082.937567567567,19328.41783783784,37
919,C18.9,3,2483.0289156626504,4217.438674698795,4944.215542168675,16885.991807228915,83
920,C18.9,4,5678.890434782609,7218.98347826087,9330.915217391304,32695.563913043476,23
921,C18.9,5,4506.649480519481,5226.077402597403,6263.465454545455,23587.24896103896,154
922,C18.9,6,5939.42040920716,6257.2890537084395,6478.943043478261,27687.13296675192,391
