,basy_zyzd_jbbm_for_str_5,basy_yydj,basy_ssjczbm1_for_str_5,age_group,AGE-HAOCAI-5-5-E,AGE-JCJY-5-5-E,AGE-YP-5-5-E,AGE-ZFY-5-5-E,记录条数-5-5
367209,Z43.6,3,97.62,3,55.59017543859649,926.7070175438597,371.1768421052632,2115.8377192982457,57
367210,Z43.6,3,97.62,4,69.16686956521738,860.8573913043479,352.74939130434785,1947.3898260869564,115
367211,Z43.6,3,97.62,5,53.247874396135266,947.7646376811595,330.1413526570048,2040.7780193236715,207
367212,Z43.6,3,97.62,6,30.332500000000003,922.5536956521739,299.45510869565214,1911.1132608695655,92
367213,Z43.6,3,97.62,8,57.56434782608696,1000.0023913043478,313.41043478260866,2079.8702173913043,46
367251,Z43.6,5,59.99,4,24.6834375,534.759375,140.450625,1421.348125,32
367252,Z43.6,5,59.99,5,50.376129032258056,648.4024193548387,177.23258064516128,1644.0016129032258,62
367253,Z43.6,5,59.99,6,154.336875,510.15,93.7084375,1512.574375,32
367254,Z43.6,5,59.99,8,42.93,615.9909090909091,127.2590909090909,1474.016818181818,22
367257,Z43.6,5,97.62,2,92.2728947368421,798.5513157894737,383.03236842105264,2147.021052631579,38
367258,Z43.6,5,97.62,3,102.7209243697479,780.5911764705883,283.2290756302521,1946.189411764706,119
367259,Z43.6,5,97.62,4,61.66691011235955,700.0387640449438,257.0076966292135,1720.72702247191,178
367260,Z43.6,5,97.62,5,67.57786885245902,758.4009836065574,273.28678688524593,1815.8198032786886,305
367261,Z43.6,5,97.62,6,71.36323353293413,792.1769461077844,352.81952095808384,1975.62125748503,167
367262,Z43.6,5,97.62,8,75.45535714285714,735.6416964285714,261.3075,1804.1405357142855,112
367263,Z43.6,5,97.62,9,52.710869565217386,769.5608695652174,301.46434782608696,1827.117391304348,23
367285,Z43.6,6,59.99,4,75.74071428571429,666.1999999999999,163.93892857142856,1689.3260714285714,28
367286,Z43.6,6,59.99,5,47.229777777777784,590.1675555555556,262.71444444444444,1740.0246666666667,45
367287,Z43.6,6,59.99,6,97.816,858.056,398.3944,2335.3512,25
367297,Z43.6,6,97.62,2,64.95809523809524,752.6947619047619,242.8645238095238,1896.2469047619047,42
367298,Z43.6,6,97.62,3,109.395,646.768085106383,158.59106382978723,1751.8656382978722,94
367299,Z43.6,6,97.62,4,57.47352517985611,741.9760431654676,270.3418705035971,1906.4159712230216,139
367300,Z43.6,6,97.62,5,67.83417218543046,734.5868874172185,219.79420529801325,1856.1345033112582,302
367301,Z43.6,6,97.62,6,49.877153846153846,746.4685384615385,249.70446153846154,1978.1031538461539,130
367302,Z43.6,6,97.62,8,38.27876190476191,711.8311428571429,250.88980952380953,1872.6605714285713,105
367303,Z43.6,6,97.62,9,201.0359090909091,821.289090909091,407.3954545454546,2568.7045454545455,22
367385,Z45.0,6,37.85,8,19499.965833333332,3710.9795833333333,1070.04,30066.359583333335,24
367386,Z45.0,6,37.85,9,22127.21875,3471.3679166666666,1172.8916666666667,30306.46875,24
367394,Z45.0,6,37.87,6,27659.08111111111,2855.7925,387.52833333333336,34941.451944444445,36
367395,Z45.0,6,37.87,8,27018.06674157303,3508.4976404494378,919.7019101123595,36786.753483146065,89
367396,Z45.0,6,37.87,9,28105.66473282443,3476.5998473282443,1005.0669465648854,36246.08671755726,131
367435,Z45.2,6,39.49,4,8169.61,2325.315666666667,925.8656666666667,15916.184000000001,30
367436,Z45.2,6,39.49,5,7605.355799999999,2120.1992999999998,796.0650999999999,14959.4632,100
367437,Z45.2,6,39.49,6,8761.426578947368,2408.4076315789475,870.4094736842104,16645.28842105263,76
