,basy_zyzd_jbbm_for_str_8,basy_yydj,age_group,AGE-HAOCAI-8-only_disease-E,AGE-JCJY-8-only_disease-E,AGE-YP-8-only_disease-E,AGE-ZFY-8-only_disease-E,记录条数-8-only_disease
94877,T58.x00x,6,5,698.5096000000001,6459.142,3792.0156,17292.17,25
94878,T58.x00x,6,6,1387.0579166666666,9041.979166666666,8768.339166666667,33089.64666666667,24
94917,T60.001,5,8,2792.003333333333,3812.9952380952377,4827.262857142858,15884.178095238094,21
95011,T60.300x,6,5,5317.717619047619,4624.0,2300.1133333333332,16410.899523809523,21
95287,T79.300x,6,5,2699.188333333333,3012.5460000000003,4499.789,19891.189333333336,30
95593,T81.406,5,5,1308.2128571428573,2174.7057142857143,3090.8557142857144,13142.518095238096,21
95601,T81.406,6,4,2117.0975999999996,2619.6416,3319.7788,13775.288,25
95602,T81.406,6,5,2406.659122807018,2598.980526315789,5154.849649122807,17727.339122807018,57
95603,T81.406,6,6,2790.455882352941,4565.836764705883,6614.344705882353,21556.08911764706,34
95604,T81.406,6,8,3328.00724137931,3547.6,3857.7203448275864,16780.40275862069,29
95674,T81.800x,6,5,3147.873076923077,3659.0249999999996,6223.181923076923,24303.990384615383,26
95799,T82.500,3,5,14512.603333333333,2170.1190476190477,662.7838095238095,21597.28,42
95800,T82.500,3,6,12291.44681818182,2123.7727272727275,722.7172727272726,19180.633181818182,22
95801,T82.500,3,8,19472.277142857143,2062.6190476190477,725.3028571428571,26750.532380952383,21
95852,T82.800,6,5,8523.216451612903,3808.5067741935486,3203.712580645162,26385.06064516129,31
95853,T82.800,6,6,5934.942608695652,2122.4569565217394,546.63,13326.775217391305,23
95873,T82.800x,6,5,5746.490000000001,3011.675,2801.023888888889,20052.854722222222,36
95874,T82.800x,6,6,5624.677555555555,2228.6106666666665,1394.8615555555555,17245.43177777778,45
95875,T82.800x,6,8,7457.97875,2669.80375,1905.9153125,19765.4496875,32
95975,T83.303,3,4,405.93312499999996,1085.303125,466.6459375,3890.3806250000002,32
95976,T83.303,3,5,439.4586111111111,1009.5166666666667,578.4894444444444,3714.3097222222223,36
95986,T83.303,5,3,523.5133333333333,1339.5777777777778,519.4580555555556,4346.308333333333,36
