,basy_yydj,basy_ssjczbm1_for_str_4,age_group,AGE-HAOCAI-only_operation-4-E,AGE-JCJY-only_operation-4-E,AGE-YP-only_operation-4-E,AGE-ZFY-only_operation-4-E,记录条数-only_operation-4
852,1,43.4,8,436.8315306122449,1048.9214285714286,2210.6638775510205,5425.701836734695,98
857,1,44.1,2,255.23416666666665,920.9291666666667,2734.55875,5443.525000000001,24
858,1,44.1,3,166.5992156862745,1224.4982352941176,2326.5023529411765,5789.170392156862,51
859,1,44.1,4,134.77837398373984,1361.9389430894307,2101.440731707317,5383.601300813008,123
860,1,44.1,5,131.25251937984495,1364.7189147286822,1756.8641085271317,4798.306162790697,258
861,1,44.1,6,141.45806282722512,1569.4593717277487,1711.0076439790578,4815.341623036649,191
862,1,44.1,8,106.07817204301075,1776.8796774193547,1933.8994086021505,5160.01688172043,186
863,1,44.1,9,108.36785714285713,1756.4333333333332,2044.1985714285713,5307.778571428572,42
879,1,45.2,3,801.3360869565217,736.3460869565217,3073.5186956521743,6999.966086956521,23
880,1,45.2,4,922.8842857142857,778.4346938775511,2594.9248979591835,6233.802653061225,49
881,1,45.2,5,746.4804123711341,957.4708247422681,2321.682268041237,5963.929999999999,97
882,1,45.2,6,1068.7468,1276.6992,1733.4856,5696.7962,50
883,1,45.2,8,483.10676470588237,1431.5282352941176,1891.1138235294118,5229.565882352941,34
892,1,45.4,2,1170.7646153846154,708.4153846153846,2404.5815384615385,6286.583846153846,26
893,1,45.4,3,869.8548979591836,900.6122448979592,2347.2238775510205,5987.609183673469,49
894,1,45.4,4,1213.1210769230768,980.4892307692309,1599.4856153846154,5983.0454615384615,130
895,1,45.4,5,1203.3161829652997,1074.8910094637224,1650.9004100946372,6396.795930599369,317
896,1,45.4,6,1304.4552413793103,1093.7931034482758,1741.7873103448276,6714.369172413793,145
897,1,45.4,8,1031.507011494253,1364.383908045977,1788.472988505747,6926.547471264368,87
911,1,47.0,1,1102.1396,1192.624,1774.3848,6393.1323999999995,25
913,1,47.0,3,974.0792,1321.71,2148.1495999999997,6898.444,25
914,1,47.0,4,1235.467435897436,1469.3589743589744,2581.305641025641,8337.086923076924,39
915,1,47.0,5,1038.9414864864864,1446.3377027027027,2486.0651351351353,7774.374594594594,74
916,1,47.0,6,1140.0697435897437,1425.6717948717949,2776.307948717949,8045.256923076923,39
917,1,47.0,8,1409.852380952381,1633.6761904761904,3039.125238095238,8817.001428571428,21
927,1,48.3,2,491.7830434782609,587.2260869565217,3506.1795652173914,6010.597391304347,46
928,1,48.3,3,272.27428571428567,671.004761904762,3966.333809523809,6407.245238095238,42
929,1,48.3,4,749.1691549295775,825.0267605633803,3140.6415492957744,6160.475492957747,71
930,1,48.3,5,788.3686713286713,844.0472027972028,3295.117902097902,6888.6555244755245,143
931,1,48.3,6,921.3384375,1068.25703125,2546.02921875,6833.354375,64
932,1,48.3,8,364.6385714285715,1006.35,2462.840714285714,5896.33,28
947,1,48.7,2,1716.1000000000001,664.86,3879.9296296296297,8422.095185185186,27
948,1,48.7,3,1901.3325,683.775,4317.867749999999,10902.72625,40
949,1,48.7,4,1687.943137254902,684.1803921568627,4461.648627450981,9570.187058823529,51
950,1,48.7,5,1803.860704225352,794.8957746478873,4009.984366197183,9851.454788732395,71
951,1,48.7,6,1617.7318181818182,746.8545454545455,4600.428181818182,10056.358181818183,22
959,1,49.0,2,2465.9436842105265,705.9882456140351,3211.746315789474,9128.938245614036,57
960,1,49.0,3,1767.1101639344263,711.9765573770492,2906.162295081967,7881.904262295082,61
961,1,49.0,4,1419.35675,803.5310000000001,2780.669,7520.558,40
962,1,49.0,5,1138.7570588235294,894.0817647058823,2319.4785294117646,6730.490882352941,34
967,1,49.1,3,2129.391304347826,643.0252173913043,3032.8243478260874,8647.120434782608,23
984,1,49.4,1,2210.207924528302,616.1398113207547,1534.571509433962,7260.998679245283,53
985,1,49.4,2,2772.159917012448,675.2239419087136,2078.466307053942,8752.244647302905,241
986,1,49.4,3,3348.756920152091,733.1896958174905,2119.1017870722435,9639.563422053232,263
987,1,49.4,4,2714.0069696969695,793.8038383838383,1921.683265993266,9041.058417508419,297
988,1,49.4,5,2628.243990024938,825.3373815461346,2090.908753117207,8777.560822942643,401
989,1,49.4,6,2430.7716296296294,801.5602962962963,1883.5586666666668,8514.834814814814,135
990,1,49.4,8,2287.2184210526316,889.6840350877193,1993.0936842105264,8080.497894736842,57
1025,1,51.0,2,4238.3569230769235,2158.1871794871795,7000.057435897435,17442.13358974359,39
1026,1,51.0,3,4721.887647058823,2227.4058823529413,7011.295490196078,18211.59470588235,51
1027,1,51.0,4,4871.964915254237,2171.6423728813556,7199.860169491525,18463.460169491525,59
1028,1,51.0,5,4692.208082191781,2242.123287671233,7366.482739726027,18508.55794520548,73
1035,1,51.2,2,1496.1878125,1777.75,3690.5525,10565.6140625,32
