,basy_yljgid,basy_caption,basy_dept_adrresscode,basy_yydj
1456,JG_510000001720,泸州市人民医院（泸州市红十字医院、泸州市江阳区人民医院）,510502,三级甲等
1459,JG_510000002924,眉山市彭山区人民医院,511403,三级未评等
1460,JG_510000006406,江油市战旗镇卫生院,510781,未评级未评等
1461,JG_510000004402,成都市双流区东升社区卫生服务中心,510116,未评级未评等
1462,JG_510000004774,邛崃市大同镇卫生院,510183,未评级未评等
1463,JG_510000185066,高坪太禾医院,511303,未评级未评等
1464,JG_510000002290,青川县人民医院,510822,二级甲等
1465,JG_510000003292,达州元达联合医院,511702,二级乙等
1466,JG_510000047002,越西康虹医院,513434,二级乙等
1467,JG_510000011710,资阳市雁江区南津镇中心卫生院,512002,未评级未评等
1469,JG_510000200384,前锋民生医院,511603,一级未评等
1470,JG_510000908756,大竹康仁医院,511724,一级未评等
1471,JG_510000903837,四川现代医院,510107,三级甲等
1472,JG_510000000676,成都市第三人民医院,510105,三级甲等
1473,JG_510000005504,德阳市旌阳区八角井镇卫生院,510603,未评级未评等
1474,JG_510000008940,阆中市望垭镇卫生院,511381,未评级未评等
1475,JG_510000175650,邛崃兴盛医院,510183,二级未评等
1476,JG_510000006972,苍溪县白驿镇卫生院,510824,未评级未评等
1477,JG_510000009498,长宁县长宁镇中心卫生院,511524,未评级未评等
1479,JG_510000901329,峨眉山佛光医院,511181,二级甲等
1481,JG_510000006448,广元市利州区宝轮镇赤化卫生院,510802,未评级未评等
1482,JG_510000202616,屏山仁爱精神病医院,511529,二级乙等
