,basy_yydj,jbbm,ssbm,num,level_耗材费_mean,level_检查检验费_mean,level_药品费_mean,level_总费用_mean
190,一级乙等,I24.901,S,143,17.07783216783216783216783217,967.9168531468531468531468531,1556.145804195804195804195804,3046.165174825174825174825175
191,一级乙等,I25.100,S,856,41.81288551401869158878504673,898.1759345794392523364485981,4310.475116822429906542056075,6515.577418224299065420560748
192,一级乙等,I25.103,S,655,26.28482442748091603053435115,1102.491038167938931297709924,1797.661480916030534351145038,3449.853435114503816793893130
193,一级乙等,I25.104,S,532,36.67099624060150375939849624,616.8465601503759398496240602,1665.946541353383458646616541,3116.691954887218045112781955
194,一级乙等,I25.500,S,84,22.21369047619047619047619048,761.0939285714285714285714286,1408.903809523809523809523810,2581.586190476190476190476190
195,一级乙等,I25.600,S,20,238.894,1420.248,1856.521,4551.832
196,一级乙等,I25.900,S,13,18.68153846153846153846153846,517.4138461538461538461538462,1105.336923076923076923076923,1992.838461538461538461538462
197,一级乙等,I25.901,S,2125,82.39044235294117647058823529,910.3413035294117647058823529,1962.265063529411764705882353,3521.326465882352941176470588
198,一级乙等,I25.902,S,12,42.82333333333333333333333333,515.2158333333333333333333333,594.9858333333333333333333333,1412.583333333333333333333333
199,一级乙等,I26.001,S,17,38.65764705882352941176470588,687.3011764705882352941176471,1542.982941176470588235294118,2860.707647058823529411764706
200,一级乙等,I27.900,S,999,42.66682682682682682682682683,504.0269169169169169169169169,1555.506966966966966966966967,2627.013963963963963963963964
201,一级乙等,I38.X01,S,14,72.28642857142857142857142857,1017.951428571428571428571429,1862.155,4013.642857142857142857142857
202,一级乙等,I40.001,S,12,77.2575,819.2533333333333333333333333,1697.245,3366.374166666666666666666667
203,一级乙等,I40.900,S,11,159.5490909090909090909090909,689.0863636363636363636363636,1943.042727272727272727272727,5580.887272727272727272727273
204,一级乙等,I42.000,S,90,36.45555555555555555555555556,743.7585555555555555555555556,1204.334666666666666666666667,2484.625111111111111111111111
205,一级乙等,I42.001,S,45,6.872222222222222222222222222,674.5462222222222222222222222,1473.775333333333333333333333,2669.806666666666666666666667
206,一级乙等,I42.900,S,16,46.284375,403.391875,2075.06625,3039.12125
207,一级乙等,I46.100,S,29,39.38655172413793103448275862,778.9931034482758620689655172,4296.766896551724137931034483,6993.010689655172413793103448
208,一级乙等,I46.901,S,16,7.580625,634.35625,1230.1225,7118.4925
209,一级乙等,I48.900,S,17,20.73176470588235294117647059,533.7705882352941176470588235,1368.950588235294117647058824,2294.667647058823529411764706
210,一级乙等,I49.900,S,45,21.78288888888888888888888889,790.1317777777777777777777778,1500.857111111111111111111111,2820.635555555555555555555556
211,一级乙等,I50.000,S,11,13.12636363636363636363636364,577.3672727272727272727272727,1274.029090909090909090909091,2428.566363636363636363636364
212,一级乙等,I50.002,S,56,65.74410714285714285714285714,450.6655357142857142857142857,1578.280892857142857142857143,2773.430535714285714285714286
213,一级乙等,I50.100,S,20,43.95,319.729,716.403,1549.192
214,一级乙等,I50.101,S,26,125.3057692307692307692307692,1562.440384615384615384615385,2468.899615384615384615384615,5208.031923076923076923076923
215,一级乙等,I50.105,S,49,21.62244897959183673469387755,496.0702040816326530612244898,1193.045510204081632653061224,2217.600204081632653061224490
216,一级乙等,I50.900,S,240,43.03979166666666666666666667,797.1417916666666666666666667,1913.295333333333333333333333,3497.772916666666666666666667
217,一级乙等,I50.904,S,18,65.91166666666666666666666667,684.1727777777777777777777778,1706.333888888888888888888889,2991.368888888888888888888889
218,一级乙等,I50.907,S,49,97.42183673469387755102040816,932.2522448979591836734693878,2027.266326530612244897959184,3714.777142857142857142857143
219,一级乙等,I50.908,S,189,15.08349206349206349206349206,672.73,1490.686349206349206349206349,2613.156984126984126984126984
220,一级乙等,I51.400,S,18,32.40666666666666666666666667,639.3677777777777777777777778,1951.495555555555555555555556,3210.740555555555555555555556
221,一级乙等,I51.402,S,16,36.258125,1320.331875,1753.105,3936.305625
222,一级乙等,I51.900,S,27,39.42296296296296296296296296,713.6737037037037037037037037,1622.454814814814814814814815,2791.627777777777777777777778
223,一级乙等,I51.903,S,11,71.26181818181818181818181818,576.0381818181818181818181818,1029.950909090909090909090909,2005.788181818181818181818182
224,一级乙等,I60.900,S,14,41.465,1069.867857142857142857142857,1739.964285714285714285714286,4260.594285714285714285714286
225,一级乙等,I61.004,S,10,108.576,1172.746,2101.828,4992.284
226,一级乙等,I61.900,S,64,55.26109375,900.5165625,2641.8384375,5185.34421875
227,一级乙等,I61.902,S,25,128.2044,671.9164,2449.5416,4451.7984
228,一级乙等,I62.001,S,10,787.917,2356.729,2906.969,7400.887
229,一级乙等,I63.000,S,13,21.42153846153846153846153846,565.7769230769230769230769231,1094.723846153846153846153846,2051.491538461538461538461538
230,一级乙等,I63.002,S,10,82.97,978.01,2853.889,4420.754
231,一级乙等,I63.100,S,37,17.04594594594594594594594595,571.8351351351351351351351351,1945.379729729729729729729730,3463.425675675675675675675676
232,一级乙等,I63.200,S,58,29.07793103448275862068965517,417.9862068965517241379310345,1167.566551724137931034482759,2244.675517241379310344827586
233,一级乙等,I63.300,S,124,38.47379032258064516129032258,448.4475806451612903225806452,1130.249596774193548387096774,2232.940322580645161290322581
234,一级乙等,I63.400,S,168,28.79214285714285714285714286,453.9142857142857142857142857,1003.084523809523809523809524,1953.442142857142857142857143
235,一级乙等,I63.402,S,28,41.085,473.5375,1169.181428571428571428571429,2171.114642857142857142857143
