,basy_caption
483,营山县绥安街道东城社区卫生服务中心
484,营山县西桥镇卫生院
485,营山县骆市中心卫生院
486,营山民生医院
487,蒲江县大兴镇公立卫生院
488,蒲江县甘溪镇公立卫生院
489,蒲江县鹤山街道天华社区卫生服务中心
490,蓬安中仁医院
491,蓬安县城南社区卫生服务中心
492,蓬安县妇幼保健计划生育服务中心
493,蓬安县睦坝镇卫生院
494,蓬安县福德镇卫生院
495,蓬安县锦屏中心卫生院
496,蓬溪县三凤中心卫生院
497,蓬溪县宝梵镇卫生院
498,蓬溪县槐花镇新胜卫生院
499,蓬溪县高升乡卫生院
500,西充县中医医院
501,西充县关文镇卫生院
502,西充县南台街道永清卫生院
503,西华大学医院
504,西南医科大学附属医院
505,西昌市安哈镇中心卫生院
506,西昌市樟木箐镇中心卫生院
507,西昌市海南社区卫生服务中心
508,西昌康立医院
509,资中县人民医院
510,资中县孟塘镇卫生院
511,资中县狮子镇卫生院
512,资中新区医院
513,资阳市第一人民医院
514,资阳市雁江区松涛镇卫生院
515,资阳市雁江区莲花社区卫生服务中心
516,资阳市雁江区迎接镇卫生院
517,资阳雁江雁北医院
518,资阳雁江黄添医院
519,越西县中所镇中心卫生院
520,越西县书古镇中心卫生院
521,越西县第一人民医院
522,达州华普医院
523,达州市达川区南坝社区卫生服务站
524,达州市达川区堡子镇中心卫生院
525,达州市达川区大树镇中心卫生院
526,达州市达川区安仁乡卫生院
527,达州市达川区梧桐梁社区卫生服务站
528,达州市达川区福善镇卫生院
529,通川区北山镇卫生院
530,通江县中医医院
531,通江县妇幼保健院
532,通江县民胜中心卫生院
533,遂宁安居济康医院
534,遂宁市安居区东禅镇中心卫生院
535,遂宁市安居区白马镇中心卫生院
536,遂宁市船山区保升中心卫生院
537,遂宁弘扬医院
538,遂宁新华中西医结合医院
539,邛崃市天台山镇中心卫生院（邛崃市第五人民医院）
540,邛崃普济民生医院
541,邛崃通康医院
542,邻水仁爱医院
543,邻水县太和镇卫生院
544,邻水县御临镇卫生院
545,邻水县王家镇卫生院
546,都江堰协康医院
547,都江堰南桥医院
548,都江堰市中医医院
549,都江堰市石羊镇中心卫生院
550,都江堰市蒲阳街道卫生院
551,都江堰福翔医院
552,都江堰窍康医院
553,都江堰糖尿荣信中医医院
554,都江堰誉康医院
555,都江堰阳都医院
556,金堂县中医医院
557,金堂县妇幼保健院（金堂县妇女儿童医院）
558,金堂家兴结石病医院
559,金川县中藏医院
560,金川县泰安医院
561,金阳县天地坝镇马依足卫生院
562,金阳县小银木乡卫生院
563,长宁县梅白镇卫生院
564,长宁县铜鼓镇中心卫生院
565,长河护理院
566,阆中博爱医院
567,阆中市七里街道双龙卫生院
568,阆中市二龙镇中心卫生院
569,阆中市妙高镇卫生院
570,阆中市河溪街道石龙卫生院
571,阆中市精神卫生中心
572,阆中慈念医院
573,阳平医院
574,阿坝县柯河乡卫生院
575,隆昌市云顶镇中心卫生院
576,隆昌市双凤镇中心卫生院
577,雅安唐氏肛肠专科医院
578,雅安安定医院
579,雅安市名山区人民医院
580,雅安市名山区茅河镇卫生院
581,雅安市名山区马岭镇卫生院
582,雅安市雨城区多营镇中心卫生院
583,雅安市雨城区晏场镇中心卫生院
584,雅安恒博医院
585,雅江县人民医院
586,雷波县中彝医院
587,雷波县永盛镇卫生院
588,雷波县汶水镇卫生院
589,雷波心诚医院
590,雷波百信医院
591,青川县关庄镇中心卫生院
592,青川县凉水镇中心卫生院
593,青川县茶坝乡卫生院
594,青神东成康医院
595,青神县人民医院
596,青神县西龙镇中心卫生院
597,高县庆岭镇卫生院
598,高县康诺医院（高县罗场镇卫生院）
599,高县来复镇中心卫生院
600,高县高洲医院
601,高坪健民医院
602,高坪区擦耳镇卫生院
603,龙泉驿华桥医院
604,龙马潭区小市街道社区卫生服务中心
605,龙马潭区鱼塘街道社区卫生服务中心
606,龙马潭建平中医医院
607,万源市中医院
608,万源市河口中心卫生院
609,万源市第二人民医院（万源市精神病医院）
610,万源市青花中心卫生院
611,三台县中医骨科医院
612,三台县人民医院
