,basy_zyzd_jbbm_for_str_9,basy_yydj,HAOCAI-9-only_disease-E,JCJY-9-only_disease-E,YP-9-only_disease-E,ZFY-9-only_disease-E,记录条数-9-only_disease
1526,C34.300x0,6,12714.30477112676,7734.480997652582,3185.524002347418,34376.21749413145,1704
1536,C34.800x0,6,14289.905,7549.244852941177,3911.6138235294115,35567.945147058825,68
1543,C34.900,1,2067.1657142857143,1750.642857142857,18933.890476190478,28910.54238095238,21
1548,C34.900,6,1575.0488888888888,5942.607407407407,2620.888148148148,13791.052962962962,27
1551,C34.900x0,1,3397.1248148148147,1880.5259259259258,2918.4870370370368,11104.215555555556,27
1552,C34.900x0,2,671.2138095238095,2897.1047619047617,6241.692857142856,13147.92,21
1553,C34.900x0,3,1438.5494871794872,4187.219401709402,5594.565811965812,16713.227264957266,117
1554,C34.900x0,4,2590.155625,5242.199285714285,4401.401964285715,18234.857589285715,112
1555,C34.900x0,5,2309.559948051948,4582.294363636363,3267.6525974025976,14836.804883116884,385
1556,C34.900x0,6,2422.6540025575446,6633.818657289003,4146.134072890026,18179.02540920716,1564
1565,C37.x00,6,5659.610000000001,7206.906458333334,4003.9377083333334,28401.584375000002,48
1569,C38.100,6,5681.25,10386.313333333334,4725.522380952381,41842.51761904762,21
1574,C38.300,6,3961.8859259259266,7172.452962962963,4116.944444444444,24168.673333333336,27
1625,C43.707,6,1556.1044736842105,4251.848947368421,2503.1797368421053,18789.313421052633,38
1637,C44.100x0,6,942.2257142857144,2656.3790476190475,646.6938095238095,10217.196666666667,21
1645,C44.300,6,1963.1741666666667,3582.7999999999997,1290.2362500000002,12553.545208333335,48
1654,C44.304,6,1026.103125,3203.5571875,868.1075000000001,10178.115625,32
1709,C48.000x0,6,6354.238301886792,11717.668867924527,11087.624905660377,50821.72169811321,53
1729,C49.200x0,6,2138.6332352941176,5646.8197058823525,2615.7552941176473,16901.58529411765,34
1756,C50.100x0,6,3364.0890243902436,7508.739512195122,2269.12,20032.70268292683,41
1759,C50.200,6,3606.9732,7181.772,2157.8384,18078.2608,25
1763,C50.200x0,6,4637.112950819673,6884.727049180327,1721.7819672131147,21164.812049180327,122
1769,C50.300x0,6,4465.568979591837,7127.414489795919,2297.7720408163264,21132.184693877552,49
1773,C50.400,6,3369.0218181818186,7213.959636363636,2168.206181818182,17888.192181818184,55
