,basy_zyzd_jbbm_for_str_3,basy_yydj,age_group,AGE-HAOCAI-3-only_disease-E,AGE-JCJY-3-only_disease-E,AGE-YP-3-only_disease-E,AGE-ZFY-3-only_disease-E,记录条数-3-only_disease
29070,R22,6,3,441.22934065934066,1286.4121978021979,289.0459340659341,3882.6110989010986,91
29071,R22,6,4,445.1739175257732,1648.5425773195877,348.5794845360825,4100.879175257732,97
29072,R22,6,5,494.0932820512821,1686.0046666666665,444.9147179487179,4587.597435897436,195
29073,R22,6,6,496.21990196078434,1986.3051960784314,560.9293137254903,5406.397843137254,102
29074,R22,6,8,608.8336363636364,2034.5932467532466,578.5807792207793,5052.064545454545,77
29075,R22,6,9,619.7573529411765,2325.5270588235294,342.2985294117647,4932.279411764706,34
29078,R22,7,2,42.11185185185185,673.0425925925927,416.20185185185187,1681.5822222222223,27
29079,R22,7,3,23.76483870967742,554.6777419354838,484.50903225806445,1631.99,31
29080,R22,7,4,39.43481012658228,679.760253164557,467.7064556962025,1836.0645569620253,79
29081,R22,7,5,37.25310344827586,653.3237241379311,410.68082758620693,1790.483172413793,145
29082,R22,7,6,22.995121951219513,702.6880487804877,341.71524390243906,1754.6109756097562,82
29083,R22,7,8,29.765569620253164,806.1381012658227,501.6006329113924,2023.0415189873418,79
29084,R22,7,9,26.904347826086955,826.9339130434782,332.33652173913043,1691.2634782608695,23
29212,R31,6,5,875.1078260869565,2728.636956521739,1325.0252173913043,6914.129999999999,23
29213,R31,6,6,667.5164,2366.212,958.0508,5133.866,25
29214,R31,6,8,213.35227272727272,2837.498181818182,775.919090909091,5087.137727272727,22
29215,R31,6,9,207.9872,2763.6784000000002,827.5756,6056.8196,25
29220,R31,7,8,26.114827586206893,727.0034482758621,696.9479310344828,1795.856896551724,29
29247,R33,3,8,226.5595238095238,1537.654761904762,799.0999999999999,3759.8090476190478,21
29248,R33,3,9,134.82142857142858,1448.2857142857142,774.4638095238095,3171.179047619047,21
29259,R33,5,8,412.99703703703705,1703.537037037037,729.6951851851852,4089.5577777777776,27
29268,R33,6,8,366.6343333333333,2282.336666666667,1016.658,5330.649666666666,30
29271,R33,7,5,19.274285714285714,540.6880952380952,566.2080952380952,1604.107142857143,21
29272,R33,7,6,33.26184782608696,698.6552173913043,569.5380434782609,1808.6407608695654,92
29273,R33,7,8,32.799523809523805,686.0992517006803,630.0073469387755,1886.0603401360545,147
29274,R33,7,9,37.82968085106383,705.2654255319148,623.8734042553191,1953.6809574468086,94
29318,R40,5,6,182.87571428571428,2994.5047619047623,541.6457142857142,4897.178095238096,21
29320,R40,5,9,166.33571428571426,2242.1219047619047,514.67,4605.161428571429,21
29326,R40,6,5,379.52036363636364,4787.029454545454,3278.266909090909,14839.111272727272,55
29327,R40,6,6,311.17,3908.6696666666667,769.4006666666667,6801.407666666667,30
29328,R40,6,8,559.5730769230769,5947.288974358974,2667.460512820513,13580.683846153846,39
29329,R40,6,9,460.57861111111106,5942.655,1357.03,13263.235833333332,36
29336,R40,7,8,33.76428571428571,848.8678571428571,556.0328571428571,2035.1707142857142,28
29368,R42,3,8,28.06772727272727,1398.8513636363637,708.1027272727273,3178.3309090909092,22
29374,R42,4,5,22.958260869565216,1745.2434782608696,341.8013043478261,2622.668260869565,23
29376,R42,4,8,78.45809523809524,2057.6361904761907,523.2671428571429,3623.881904761905,21
29382,R42,5,4,67.00216216216216,1458.2932432432433,419.85324324324324,2768.2678378378378,37
29383,R42,5,5,100.08214285714286,1908.6285714285714,387.7840476190476,3304.6235714285713,42
29384,R42,5,6,31.868157894736843,1553.1960526315788,474.7194736842105,2774.1505263157896,38
29385,R42,5,8,69.37870967741935,1413.0354838709677,631.4574193548387,3058.0716129032257,31
29389,R42,6,2,144.6147619047619,2430.752380952381,326.7509523809524,4228.74619047619,21
29390,R42,6,3,62.68428571428572,2092.5195238095234,292.4352380952381,3227.7961904761905,21
29391,R42,6,4,149.0796,2506.4338000000002,667.1260000000001,4960.1844,50
29392,R42,6,5,92.49432432432432,2598.7796396396393,531.6401801801802,4595.192612612613,111
29393,R42,6,6,432.7683870967742,3162.7688709677423,566.1272580645161,5974.233548387097,62
29394,R42,6,8,171.8422891566265,2783.5348192771085,1334.3475903614458,6577.224457831326,83
29395,R42,6,9,133.24666666666667,2909.5049999999997,846.5238888888889,5934.349722222222,36
29399,R42,7,3,12.793181818181818,623.9263636363636,482.8736363636364,1428.735909090909,22
29400,R42,7,4,5.794918032786885,620.7986885245901,444.81295081967215,1600.3632786885246,61
29401,R42,7,5,9.757309941520468,635.4645029239765,473.0161988304094,1629.04081871345,171
29402,R42,7,6,9.416851063829787,652.9870212765958,526.3005957446809,1670.575404255319,235
29403,R42,7,8,9.592369942196532,609.6277167630058,518.3940751445086,1623.776965317919,346
29404,R42,7,9,14.25172932330827,605.7533834586466,520.1485714285714,1612.089097744361,133
29483,R50,3,0,35.02857142857143,899.6142857142858,367.112380952381,1820.9704761904763,21
29510,R50,6,0,203.50875,2831.9166666666665,451.7620833333333,4496.66625,24
29511,R50,6,1,773.1956896551724,5937.631034482758,3541.89,14668.329827586207,58
29512,R50,6,2,80.10705882352941,3098.520980392157,436.08392156862743,4329.788039215687,51
29513,R50,6,3,57.827407407407414,2553.1981481481484,452.1144444444445,3891.49962962963,27
29515,R50,6,5,338.81380952380954,5925.078571428571,2522.205,11096.814285714287,42
29516,R50,6,6,254.491875,4450.8896875,1075.3634375,7453.6753125,32
29519,R50,7,0,21.263333333333335,362.7872222222222,273.6791666666667,951.1027777777776,36
29520,R50,7,1,13.084594594594595,441.58864864864864,464.69513513513516,1214.8743243243243,37
29524,R50,7,5,15.362222222222222,592.4155555555556,468.9311111111111,1376.5185185185185,27
29526,R50,7,8,16.758695652173913,660.79,507.84260869565213,1555.4560869565216,23
29554,R51,5,5,128.12142857142857,1563.8714285714286,451.53476190476187,2986.8014285714285,21
29555,R51,5,6,109.13571428571429,2013.8361904761903,593.3971428571429,3572.704761904762,21
29559,R51,6,1,199.97233333333332,2788.6600000000003,495.052,4559.218333333333,30
29561,R51,6,3,90.41323529411765,3062.590882352941,375.85235294117643,4389.186176470589,34
29562,R51,6,4,112.26212121212122,3607.0127272727273,693.5751515151514,6316.037272727273,33
29563,R51,6,5,222.3975,3338.8629545454546,709.4822727272727,5912.284090909091,44
29564,R51,6,6,148.50719999999998,2777.612,654.25,5357.671600000001,25
29572,R51,7,5,29.00294117647059,605.5994117647059,471.78588235294114,1634.048823529412,34
29573,R51,7,6,7.0044,592.3548,619.1008,1779.8183999999999,25
29574,R51,7,8,11.40913043478261,537.7356521739131,628.3769565217391,1851.5300000000002,23
29602,R52,6,5,152.730625,1913.19375,1427.235625,4927.310625,32
29603,R52,6,6,285.80129032258066,2309.0193548387097,1583.9929032258065,5744.62935483871,31
29604,R52,6,8,201.17739130434782,2241.378260869565,1260.3365217391306,5440.993043478261,23
29611,R52,7,6,34.32238095238095,891.2047619047619,1111.6938095238095,3020.997142857143,21
29612,R52,7,8,17.4316,648.9664,849.7888,2294.8792000000003,25
29635,R53,5,5,81.96761904761904,1968.1057142857144,955.5028571428572,6976.0976190476185,21
29636,R53,5,6,107.675,1880.4520833333333,783.2341666666666,5145.5475,24
29643,R53,6,4,188.70909090909092,4730.8,675.2231818181818,11543.756363636363,22
29644,R53,6,5,106.421,3044.3926666666666,380.022,5929.718666666667,30
29645,R53,6,6,157.12941176470588,4159.331176470589,642.755,6948.903529411765,34
29646,R53,6,8,132.05541666666667,2968.59,730.2966666666666,8463.965833333334,24
29678,R55,3,6,1010.9995238095239,1980.6676190476192,343.96190476190475,4028.773333333333,21
29686,R55,4,5,167.55666666666667,2579.315,500.27375,4093.7004166666666,24
29688,R55,4,8,1998.3252380952379,2915.2485714285713,897.7033333333334,7479.837142857143,21
29691,R55,5,1,29.3635,1229.3685,65.1105,1797.7215,40
29694,R55,5,4,99.44756097560975,2503.422682926829,300.35243902439026,3728.142195121951,41
29695,R55,5,5,76.91555555555556,2497.6926388888887,376.6625,3748.1895833333338,72
29696,R55,5,6,79.6025,2551.446875,369.30125,3793.4309375000003,64
29697,R55,5,8,113.23831325301205,2640.7520481927713,457.8714457831326,4134.444337349398,83
29698,R55,5,9,75.27068181818181,2363.2795454545453,545.0338636363637,3960.0447727272726,44
29699,R55,6,0,99.54846153846152,2917.8753846153845,236.1076923076923,3959.6757692307697,26
29700,R55,6,1,64.33868421052631,2240.326052631579,112.56644736842104,3031.3527631578945,76
29701,R55,6,2,2712.5815624999996,3322.0640625,303.4053125,7322.955,32
29702,R55,6,3,67.13888888888889,3204.3814814814814,301.34666666666664,4396.829074074074,54
29703,R55,6,4,226.52378378378376,3571.388243243243,454.80337837837845,5581.385,74
29704,R55,6,5,1325.6616455696203,3504.9021518987342,467.5172784810126,6375.739050632911,158
29705,R55,6,6,1056.1848360655738,3803.4294262295084,549.39,6632.044590163934,122
29706,R55,6,8,1300.724927536232,3605.660797101449,718.6318115942029,6875.53036231884,138
29707,R55,6,9,966.7146666666667,3664.7042666666666,1010.6826666666666,7763.974399999999,75
29713,R55,7,6,21.713809523809523,871.5304761904762,462.9228571428571,1739.83,21
29714,R55,7,8,15.872702702702702,766.0254054054054,528.9308108108107,1784.8002702702702,37
29717,R56,2,0,56.530952380952385,686.1899999999999,494.8180952380952,1695.4938095238097,21
29722,R56,3,0,44.57215568862276,749.7435928143713,315.9268862275449,1719.1679041916166,167
29731,R56,4,0,97.4551282051282,1155.6910256410256,389.8888461538462,2473.373717948718,78
29740,R56,5,0,43.69652956298201,803.7405141388175,310.9497172236504,1819.424473007712,389
29749,R56,6,0,106.6790251572327,1494.4866876310273,413.67330188679244,2864.5728092243185,954
29750,R56,6,1,103.90636363636364,2719.2063636363637,235.4090909090909,4085.0558181818183,55
29754,R56,6,5,112.39551724137931,4281.255862068965,570.1313793103449,5880.7793103448275,29
29757,R56,6,9,118.12517241379311,2489.0339655172415,451.38413793103445,4065.4422413793104,58
29758,R56,7,0,49.216181818181816,684.2694545454546,337.30345454545454,1515.9074545454546,55
29783,R57,3,9,595.2421428571428,4430.594642857142,4205.009285714285,14901.885357142857,28
29796,R57,5,6,1083.4236,4527.2556,5090.730799999999,16749.3992,25
29797,R57,5,8,1274.3222857142857,5573.714285714285,4751.021714285715,17540.525714285715,35
29798,R57,5,9,576.1026923076923,4688.961538461538,4318.168461538462,13138.244230769229,26
29804,R57,6,5,2061.121578947368,6723.4755263157895,5817.143684210526,21292.457894736843,38
29805,R57,6,6,3087.4053846153847,5852.584358974359,5694.667692307693,23935.048205128205,39
29806,R57,6,8,1107.4562903225806,6177.38435483871,3902.845483870968,16599.382258064514,62
29807,R57,6,9,2893.5061818181816,9335.842545454545,6239.668,27146.106,55
29812,R57,7,5,38.625416666666666,629.7666666666667,660.1954166666667,1875.39375,24
29813,R57,7,6,52.10227272727273,1305.3813636363636,874.3172727272727,3147.0177272727274,22
29814,R57,7,8,138.93,1772.4386486486485,1426.5367567567569,4907.758108108109,37
29815,R57,7,9,143.20967741935485,1705.4216129032259,2272.71,6064.343870967742,31
29879,R59,6,2,1160.7014285714286,3746.042857142857,769.1671428571428,8034.099523809524,21
29880,R59,6,3,995.5266666666668,2980.827777777778,790.0503703703704,6826.632592592593,27
29881,R59,6,4,783.6979591836734,2934.2595918367347,1141.8261224489795,7606.8736734693875,49
29882,R59,6,5,1163.325632183908,3980.8362068965516,1092.6459770114943,8549.476436781608,87
29883,R59,6,6,1773.840652173913,4096.458260869565,926.0289130434783,9810.062608695653,46
29884,R59,6,8,932.8031428571429,4632.95,849.5257142857143,9118.498571428572,35
29919,R60,5,5,30.391379310344828,2036.0534482758621,290.72275862068966,2916.9537931034483,29
29920,R60,5,6,33.08833333333333,2156.7573333333335,315.93566666666663,3267.711333333333,30
29921,R60,5,8,45.961111111111116,2053.793333333333,431.66148148148153,3218.709259259259,27
29928,R60,6,5,78.89076923076922,2928.992307692308,729.1838461538462,4656.918076923077,26
29929,R60,6,6,64.49068965517242,3158.9655172413795,525.4931034482759,4798.1731034482755,29
29930,R60,6,8,47.98078947368421,2791.7392105263157,666.9178947368421,4640.158684210526,38
29935,R60,7,5,20.2304,900.2832000000001,552.1555999999999,1957.8472,25
29936,R60,7,6,12.394864864864866,750.4010810810811,394.657027027027,1674.6532432432432,37
29937,R60,7,8,13.806470588235294,820.6368627450981,490.8970588235294,1831.064705882353,51
29938,R60,7,9,13.85857142857143,667.2666666666667,523.3657142857143,1561.097142857143,21
29956,R62,6,0,45.254444444444445,560.6296296296297,184.76345679012346,10790.761604938272,81
29957,R62,6,1,52.95727272727272,718.4727272727273,203.8063636363636,1184.829090909091,22
29980,R63,6,8,108.40772727272729,1750.9181818181817,1063.527272727273,3932.8745454545456,22
30072,R74,6,0,58.97714285714286,1102.3666666666668,410.4014285714286,3039.154761904762,21
30118,R77,6,8,515.2408695652174,3731.5086956521736,671.5904347826087,6426.050434782609,23
30162,R90,3,4,226.84772727272727,4095.868181818182,1415.7263636363637,8032.629999999999,22
30163,R90,3,5,181.26564102564103,3469.0820512820515,1602.4789743589743,7360.5641025641025,39
30164,R90,3,6,121.41033333333333,3256.8673333333336,1582.2249999999997,6886.751666666666,30
30165,R90,3,8,32.06433333333334,2700.49,1882.987,5909.129666666666,30
30172,R90,4,5,380.46340909090907,3933.6949999999997,2482.828409090909,11091.726136363637,44
30174,R90,4,8,367.92681818181813,3476.1454545454544,2212.4672727272728,8158.889999999999,22
30181,R90,5,5,147.91625,2412.65275,1484.38025,5849.20975,40
30182,R90,5,6,117.94731707317074,2630.5490243902436,718.3063414634146,4750.695121951219,41
30183,R90,5,8,122.94378378378379,2681.2783783783784,612.1551351351352,4423.176756756757,37
30188,R90,6,3,1722.7300000000002,4200.694193548387,3032.1464516129035,13401.525806451613,31
30189,R90,6,4,566.4279661016949,3958.4930508474577,1531.1133898305086,9714.547796610168,59
30190,R90,6,5,1086.72905982906,3720.240341880342,1377.0670085470085,8657.950769230769,117
30191,R90,6,6,578.0308490566038,3411.3509433962267,1549.147924528302,7627.588396226415,106
30192,R90,6,8,928.7567592592592,4042.912037037037,1853.2882407407408,9879.491111111112,108
30193,R90,6,9,111.84033333333333,3282.273,870.9153333333333,6017.95,30
30197,R90,7,5,42.182857142857145,707.504761904762,1030.557142857143,2786.471904761905,21
30198,R90,7,6,66.7235294117647,911.7408823529412,854.8267647058824,2589.034705882353,34
30199,R90,7,8,21.59259259259259,950.4766666666666,743.2574074074074,2561.780740740741,54
30200,R90,7,9,20.676521739130436,714.7273913043479,1266.1321739130435,3472.5552173913047,23
30217,R91,3,5,872.1666666666666,2089.7761904761905,848.402380952381,5423.838571428571,21
30218,R91,3,6,156.925625,2190.185,948.90625,4147.91625,32
30219,R91,3,8,141.098,2039.1314285714288,1136.7042857142858,4633.772857142857,35
30225,R91,4,5,362.8685185185185,2962.7762962962966,1109.8166666666666,7258.144444444444,27
30226,R91,4,6,155.90266666666668,3345.309,925.6543333333334,6720.384333333333,30
30227,R91,4,8,280.0485714285714,3265.234857142857,1752.0645714285715,7214.099142857143,35
30232,R91,5,4,914.5739285714286,2397.4089285714285,725.8142857142857,5726.643928571429,28
30233,R91,5,5,739.292808988764,2651.845617977528,563.0673033707865,5360.75202247191,89
30234,R91,5,6,288.7493069306931,2732.5975247524752,744.1132673267327,5245.261386138614,101
30235,R91,5,8,343.4553383458646,2497.136466165414,783.9123308270676,4979.159097744361,133
30236,R91,5,9,150.669696969697,2354.577272727273,817.1768181818181,4558.001969696969,66
30238,R91,6,2,2366.5808,2781.7736,815.8036,8889.0736,25
30239,R91,6,3,1263.6954929577466,3697.7154929577464,854.5021126760564,11143.23985915493,71
30240,R91,6,4,2072.9345528455283,3550.053739837398,836.9951219512196,10505.906422764228,123
30241,R91,6,5,1863.7296376811594,3850.3704830917877,982.806111111111,11122.072439613527,414
30242,R91,6,6,1029.5808988764045,3909.1710393258422,976.1753370786516,8078.499578651686,356
30243,R91,6,8,916.0883943661972,4154.42861971831,1140.025661971831,8681.038732394367,355
30244,R91,6,9,783.1642592592593,3271.2996296296296,1082.979722222222,7068.518981481482,108
30247,R91,7,6,36.46823529411765,992.9667647058824,741.6638235294117,2291.9482352941177,34
30248,R91,7,8,50.22509090909091,1057.4596363636363,922.141090909091,2947.032909090909,55
30249,R91,7,9,71.0048,954.232,882.4316,2773.8256,25
30271,R93,3,4,190.72619047619048,1380.5380952380951,517.1490476190477,3632.2595238095237,21
30272,R93,3,5,303.4326923076923,1651.3465384615386,677.1465384615385,4174.868846153846,26
30273,R93,3,6,95.15818181818182,1930.1545454545455,779.8786363636365,3841.99,22
30274,R93,3,8,120.34942857142856,2131.3285714285716,827.748,4215.113714285714,35
30279,R93,4,5,400.0459375,2871.554375,2410.513125,9051.7284375,32
30280,R93,4,6,329.54136363636366,2741.723181818182,1115.9431818181818,5105.570454545455,22
