,口腔科,basy_zyzd_jbbm,耗材费,count
367,0,前庭大腺[巴多林腺]疾病	,130.33396913269587,5961
368,0,前置胎盘	,1124.3517076271185,4720
369,0,前臂其他和未特指的损伤,1413.116011235955,178
370,0,前臂创伤性切断,13437.085116279071,43
371,0,前臂开放性伤口,1021.2023947151116,1211
372,0,前臂挤压伤,549.2028571428572,70
373,0,前臂浅表损伤,79.36347186147187,1155
374,0,前臂骨折,1519.000350619942,53876
375,0,剥脱性皮炎,45.618059701492534,67
376,0,副银屑病[类银屑病],50.51716666666666,60
377,0,功能检查的异常结果,229.4089180537772,1562
378,0,动脉和小动脉的其他疾患,9527.279113276492,4105
379,0,动脉栓塞和血栓形成,11759.401467598474,3148
380,0,动脉粥样硬化,8595.682791362922,10837
381,0,包皮过长、包茎和嵌顿包茎	,701.0968013318535,9010
382,0,化脓性关节炎,520.0494899190074,5803
383,0,化脓性和未特指的中耳炎,404.9322732086128,14165
384,0,医疗个人史,92.96838709677418,31
385,0,医疗性流产	,124.23515527158877,54936
386,0,十二指肠溃疡,587.5154855936414,16104
387,0,单核细胞白血病,865.4437370242214,289
388,0,单纯性和粘液脓性慢性支气管炎,18.709819460726848,4265
389,0,单胎顺产	,151.92053293709756,10095
390,0,卟啉和胆红素代谢紊乱,377.03200992555827,403
391,0,卡波西肉瘤,884.1575,8
392,0,卵巢、输卵管和阔韧带先天性畸形,1897.751125,80
393,0,卵巢、输卵管和阔韧带的非炎性疾患	,1101.7357360163712,14660
394,0,卵巢功能障碍,166.6275,124
395,0,卵巢恶性肿瘤,5167.44399779432,3627
396,0,卵巢良性肿瘤,2241.0778682535943,8486
397,0,原位黑色素瘤,198.8181818181818,44
398,0,原因不明的小肾	,8.8,1
399,0,原有的高血压并发于妊娠、分娩和产褥期	,631.6134045226131,796
400,0,"原有高血压性疾患,并发蛋白尿	",867.6528683181225,767
401,0,双相情感障碍,77.86208500400963,1247
402,0,双眼运动的其他疾患,10.347999999999999,5
403,0,反应性关节病,94.30214285714285,42
404,0,受压区褥疮,1338.930567196532,2768
405,0,受孕的其他异常产物	,149.58263539423228,19037
406,0,变应性接触性皮炎,17.152291330102315,11142
407,0,口其他和未特指部位的恶性肿瘤,2166.5026543209874,324
408,0,"口区囊肿,不可归类在他处者",917.3172487437187,796
409,0,口和咽良性肿瘤,850.8849329911606,3507
410,0,口咽恶性肿瘤,1587.0809239130435,184
411,0,口底恶性肿瘤,2613.2766233766233,77
412,0,口炎和有关损害,73.63216859890358,11127
413,0,口腔、食管和胃原位癌,2757.175225281602,1598
414,0,口腔和消化器官动态未定或动态未知的肿瘤,2064.9970020120727,11431
