,ICU,basy_zyzd_jbbm,检查检验费,count
462,0,在髋和大腿水平的肌肉和肌腱损伤,2019.6105084745761,1239
463,0,在髋和大腿水平的血管损伤,1491.6072222222224,126
464,0,地中海贫血,950.0457593123209,2443
465,0,"坏疽,不可归类在他处者",2252.978125,112
466,0,坏疽性脓皮症,3442.2,70
467,0,垂体功能亢进,2684.199777777778,315
468,0,垂体功能减退和其他疾患,3962.193779069767,1204
469,0,埋伏牙和阻生牙,992.3851515151515,462
470,0,"声带和喉疾病,不可归类在他处者",1377.048992985972,27944
471,0,复发性和持续性血尿,3177.9506181818183,1925
472,0,复发性抑郁障碍,4249.273985765124,1967
473,0,外分泌汗腺疾患,1012.75,56
474,0,外因的其他和未特指效应的后遗症,785.0436363636364,462
475,0,外眼异物,826.361851851852,756
476,0,外耳炎,914.7878196347032,6132
477,0,外耳的其他疾患,1000.7096411483254,5852
478,0,外部假体装置的安装和调整,897.697,140
479,0,外阴和会阴的其他非炎性疾患	,919.5646456692913,3556
