,basy_zyzd_jbbm_for_str_6,basy_yydj,basy_ssjczbm1_for_str_6,age_group,AGE-HAOCAI-6-6-E,AGE-JCJY-6-6-E,AGE-YP-6-6-E,AGE-ZFY-6-6-E,记录条数-6-6
10228,C34.30,6,33.270,6,1225.3522727272727,8532.422727272728,1898.632272727273,15762.679545454546,22
10567,C34.90,5,33.240,8,530.51125,5013.129166666667,2364.090833333333,11385.2725,24
10571,C34.90,5,33.260,6,983.3782142857143,5144.044285714285,2454.3514285714286,11691.596428571429,28
10572,C34.90,5,33.260,8,1051.7176,5034.1248,1801.7464000000002,10782.8048,25
10582,C34.90,5,34.040,8,651.7972727272728,3852.6190909090906,2125.2309090909093,10163.445454545454,22
10646,C34.90,6,,5,371.2040909090909,4677.9913636363635,4317.494545454546,11625.765454545455,22
10647,C34.90,6,,6,387.46322580645165,4605.465806451613,4614.264838709677,13077.862903225807,31
10648,C34.90,6,,8,493.55702702702706,3991.419459459459,3100.000810810811,11242.944594594595,37
10716,C34.90,6,33.240,5,819.8745901639344,7393.778524590164,3749.0085245901637,15221.6831147541,61
10717,C34.90,6,33.240,6,795.0703797468354,7054.37835443038,3539.3150632911393,14620.164050632911,79
10718,C34.90,6,33.240,8,803.371224489796,6633.596530612244,2635.053469387755,13306.99224489796,49
10723,C34.90,6,33.260,5,1280.7240579710146,6435.0671014492755,1993.0923188405795,12474.530869565217,69
10724,C34.90,6,33.260,6,1461.6398076923078,8056.216923076923,2636.9075000000003,15895.87048076923,104
10725,C34.90,6,33.260,8,1415.0581355932204,7332.099491525423,2551.1828813559323,14861.894491525423,118
10726,C34.90,6,33.260,9,1357.1040740740739,7230.346296296297,2302.6140740740743,13959.617777777778,27
10729,C34.90,6,33.270,5,974.0995454545454,6574.4,2809.6754545454546,13915.160454545456,22
10730,C34.90,6,33.270,6,842.571212121212,6474.5351515151515,2100.0451515151517,13143.430909090908,33
10739,C34.90,6,34.040,8,843.3971428571429,6031.3892857142855,2997.6475,13342.830357142857,28
10761,C34.90,6,34.910,8,915.1436666666667,5738.7683333333325,3277.0293333333334,12984.221,30
10788,C34.90,6,40.110,6,1101.1319047619047,7424.223333333333,3230.53380952381,14647.519523809526,21
