,医院名称,平均OE值
2253,攀枝花市第二人民医院,0.813839401
3389,资中县双河镇卫生院,0.812971321
467,内江市东兴区人民医院,0.812824375
2011,成都市妇女儿童中心医院,0.812777735
3742,金堂县第一人民医院,0.812704082
2813,眉山市彭山区人民医院,0.81255602
2787,眉山东坡骨科医院,0.812062641
1734,广元湘康医院,0.811738665
1064,大邑宁康医院,0.811436006
966,四川省武胜县中医医院,0.811188615
2086,成都市郫都区骨科医院,0.810586149
616,华蓥市人民医院,0.809972615
1831,彭州市传染病医院,0.809601133
883,古蔺德康医院,0.80855424
1923,成都东部新区三岔中心卫生院（成都东部新区第三人民医院）,0.80806287
927,四川大学华西口腔医院,0.806695471
1650,平昌江龙医院,0.80657155
1068,大邑望县中医医院（大邑望县中医医院互联网医院）,0.805677956
2139,成都成华北区医院,0.804617987
3498,达州市达川区人民医院（达州市第三人民医院）,0.803542544
1995,成都市中西医结合医院,0.803401663
3753,金堂家兴结石病医院,0.802488839
166,乐山市人民医院,0.802396683
2116,成都市青羊区苏坡社区卫生服务中心（成都市青羊区苏坡社区医院）,0.802292007
1636,平昌县第二人民医院,0.802233538
1347,富顺县人民医院,0.802228272
1429,岳池县中医医院,0.802013984
202,乐山市精神卫生中心,0.801603875
3808,阆中名城医院,0.801221439
3731,金堂县中医医院,0.801178998
3064,自贡市大安区妇幼保健院（大安区红十字博爱妇幼保健院）,0.800603643
1727,广元市第一人民医院,0.800392816
3693,邻水县石永镇卫生院,0.798891189
2402,汉源县人民医院,0.796714349
3131,苍溪县人民医院,0.796672063
1549,巴中市恩阳区妇幼保健院,0.796142774
1544,巴中市恩阳区人民医院,0.796012284
916,喜德县人民医院,0.794527382
2005,成都市双流区第一人民医院,0.794270699
1345,富顺县东湖街道社区卫生服务中心,0.792464331
763,南部中仁医院,0.792435052
1892,德阳市第二人民医院,0.792372415
1794,广汉雒康医院,0.789733056
3812,阆中市中医医院,0.78946804
2225,成都高新博力医院,0.789244515
477,内江市东兴区田家中心卫生院,0.789235093
3668,邛崃市火井镇中心卫生院,0.788672779
1826,彭州市中西医结合医院,0.788508269
41,三六三医院,0.787368386
727,南江县人民医院,0.78708206
952,四川电力医院,0.786589535
3427,资阳市雁江区人民医院,0.786475015
71,三台县精神病院,0.785996649
674,南充市嘉陵区龙蟠镇中心卫生院,0.785880584
421,会理市人民医院,0.78532399
3056,自贡市中医医院,0.784474406
3604,遂宁嘉慧妇产医院,0.782929637
2230,成都高新普康医院,0.782193815
1601,平昌县中医医院,0.782149099
1873,德阳市中西医结合医院,0.782008743
1072,天全县人民医院,0.781818902
3423,资阳市雁江区中和镇中心卫生院,0.781775214
614,华康肾病医院,0.78093139
2593,渠县万康中医医院,0.780909435
3626,遂宁市安居区磨溪镇卫生院,0.780760351
3566,通江县人民医院,0.780576718
2133,成都市龙泉驿区龙泉平安社区卫生服务中心,0.779863691
951,四川现代医院,0.778824637
613,华川医院,0.777868296
2463,江油市第二人民医院,0.777230039
2573,泸州骨病医院,0.774551479
589,剑阁县鹤龄镇中心卫生院,0.774280392
346,仁真医院,0.773950074
2885,简阳市平泉中心卫生院,0.773562643
2058,成都市温江区妇幼保健院（成都市温江区妇幼保健计划生育服务中心）,0.773111384
2156,成都本草堂康复医院,0.771820269
1118,宁南县人民医院,0.771729825
1948,成都中德肾病医院,0.771621454
530,凉山中科耳鼻喉专科医院,0.771065304
2016,成都市成华区妇幼保健院,0.77080934
3270,蓬安中山骨科医院,0.77070646
1322,宣汉县漆树土家族乡卫生院,0.769897844
1003,大竹县人民医院,0.769770085
3661,邛崃市天台山镇中心卫生院（邛崃市第五人民医院）,0.768500309
3301,蓬溪县人民医院,0.767898951
3352,西充康桥医院,0.767599518
2254,攀枝花市第四人民医院,0.76740812
214,乐至上好医院,0.767332604
3476,达川区三里坪街道社区卫生服务中心,0.766457416
2625,渠县李馥镇卫生院,0.765639536
74,三台县芦溪镇中心卫生院  （三台县第二人民医院）,0.765471091
3863,隆昌市人民医院,0.764986457
720,南充龙医官医院,0.764135533
1220,宜宾市中西医结合医院,0.763725497
2097,成都市锦江区妇幼保健院,0.762713268
1619,平昌县新华街社区卫生服务中心,0.762484188
2670,犍为爱尔眼科医院,0.762152015
3255,蒲江县大兴镇公立卫生院,0.762050593
889,合江县中医医院,0.762015521
1084,夹江县人民医院,0.760468509
1530,巴中市中医院（巴中市巴州区人民医院）,0.760177384
3129,苍溪县五龙镇中心卫生院,0.759071169
2034,成都市新都区中医医院,0.758545903
4040,龙马潭区安宁街道社区卫生服务中心,0.758407181
3553,通川区双龙镇卫生院,0.757619679
2547,泸州家和康医院,0.757491427
1321,宣汉县渡口土家族乡卫生院,0.756898416
561,剑阁县元山镇中心卫生院,0.755536325
2191,成都金牛华欣美辰医疗美容医院,0.755251221
232,乐至县良安镇全胜卫生院,0.755249868
974,四川省第五人民医院,0.755229412
834,叙永县摩尼中心卫生院,0.755125134
1096,威远县人民医院,0.754987613
2554,泸州市纳溪区中医医院,0.754657667
1144,安岳县兴隆镇中心卫生院,0.753788177
948,四川泌尿外科医院,0.753256444
1103,威远县第三人民医院,0.752947504
2995,绵阳市游仙区人民医院,0.752334646
3212,营山县人民医院,0.751920429
1313,宣汉县普光镇卫生院,0.750130021
2239,攀枝花市中西医结合医院,0.749543693
123,中江惠民中西医结合医院,0.749323487
888,合江健欣兴康医院,0.749199462
3545,达州睛泰眼科医院,0.749166675
91,中江县仓山中心卫生院,0.74903388
1564,巴中骨科医院,0.747442418
1777,广汉崇德医院,0.74634978
3548,达州长生肾病医院,0.745533378
90,中江县人民医院,0.745312538
3916,雅安雨城容大医院,0.744091274
1604,平昌县人民医院,0.743599875
1107,威远县镇西镇卫生院,0.743509849
2556,泸州市纳溪区妇幼保健计划生育服务中心（泸州市纳溪区妇幼保健院）,0.743149909
2979,绵阳市安州区第二人民医院,0.742380922
2153,成都显微手足外科医院,0.742054418
1315,宣汉县柏树镇卫生院,0.742013828
2557,泸州市龙马潭区中医医院,0.741870908
2464,江油市第五人民医院,0.740992265
722,南江云山骨科医院,0.740233645
3953,青川县人民医院,0.737909565
3601,通江茹氏骨科医院,0.737778109
771,南部县中医医院,0.737418371
3806,阆中元华祥医院,0.737261657
2613,渠县岩峰镇中心卫生院,0.736853567
2499,沐川县人民医院,0.736153896
3607,遂宁市中医院,0.736081382
1160,安岳县岳城街道社区卫生服务中心,0.735599816
1054,大邑县悦来镇公立卫生院（大邑县第六人民医院）,0.735187154
3622,遂宁市安居区横山镇观音卫生院,0.734812048
2112,成都市青羊区妇幼保健计划生育服务中心（成都市青羊区妇幼保健院）,0.734527628
3264,蒲江县鹤山社区卫生服务中心,0.734234351
3618,遂宁市安居区常理镇卫生院,0.734029393
2297,旺苍德慈精神病医院,0.733900903
238,乐至县龙门镇卫生院,0.733453287
724,南江县下两镇中心卫生院,0.733322198
973,四川省第二退役军人医院,0.732113728
2674,珙县人民医院,0.731932992
1109,威远县龙会镇卫生院,0.730351297
1694,广元市利州区荣山镇卫生院,0.729641379
324,仁寿县第二人民医院（仁寿县富加镇卫生院）,0.729494984
3621,遂宁市安居区横山镇中心卫生院,0.729416596
764,南部仁博耳鼻喉医院,0.728254139
1759,广安市广安区恒升中心卫生院,0.726908334
3417,资阳市中医医院,0.726886582
447,佛都老年病医院,0.726659535
3759,金堂黄氏中西医骨科医院,0.726617625
1963,成都八里医院,0.726145107
1215,宜宾和美妇产医院,0.726132345
1186,安岳县镇子镇中心卫生院,0.725339257
3845,阆中慈念医院,0.725298932
54,三台县塔山镇中心卫生院,0.72488024
3677,邻水县九龙镇中心卫生院,0.724867531
2905,简阳玛莉亚妇产医院,0.724451135
1728,广元市第二人民医院,0.724171221
3611,遂宁市安居区东禅镇中心卫生院,0.724024373
2957,绵竹市肛肠专科医院,0.72361683
249,九龙县人民医院,0.722573047
1067,大邑志昌骨科医院,0.722494999
1049,大邑元兴卫生院,0.722045946
1652,平武县人民医院,0.721777263
474,内江市东兴区椑木中心卫生院,0.721442747
3612,遂宁市安居区中兴镇卫生院,0.721249273
1279,宜宾戎南骨科医院,0.720859213
126,丹巴县人民医院,0.720276226
1965,成都军建医院,0.720273992
3651,邛崃兴盛医院,0.720082698
3054,自贡云山骨科医院,0.719722086
1273,宜宾市翠屏区白花镇中心卫生院,0.719481481
3024,绵阳顾连康复医院,0.719356749
2210,成都顾连天辰老年病医院,0.719028416
2072,成都市郫都区三道堰镇卫生院,0.719018752
1299,宣汉县华景镇卫生院,0.718955343
2623,渠县望溪镇卫生院,0.71880523
2180,成都西区医院,0.718144223
3402,资中县罗泉镇卫生院,0.718140216
481,内江市东兴区郭北中心卫生院,0.717452835
