,basy_zyzd_jbbm_3,count,耗材费
809,809,4632,7847.767592832471
810,810,4261,3209.677078150669
811,811,2134,4511.80427366448
812,812,5227,6063.431892098718
813,813,6731,4496.748233546278
814,814,1694,2471.141458087367
815,815,3631,6084.126036904434
816,816,3043,3132.086937232994
817,817,1377,3581.055250544662
818,818,3376,9762.868761848342
819,819,2147,7408.725435491383
820,820,1099,3767.422957233849
821,821,2125,7254.50209882353
822,822,3692,5103.9577925243775
823,823,453,3108.177439293598
824,824,593,3872.893018549747
825,825,745,3492.1949395973156
826,826,1195,2709.3766778242675
827,827,1462,8484.944596443229
828,828,10346,3544.1345640827376
829,829,14175,3598.8427971781302
830,830,688,825.2233139534884
831,831,994,1033.8018209255533
832,832,5464,1879.548413250366
833,833,30194,3295.620688878585
834,834,2285,3378.602319474836
835,835,3022,2891.739718729318
836,836,12462,3414.5509412614347
837,837,21041,2872.70441661518
838,838,26192,3697.978555665852
839,839,4045,3702.2351372064277
840,840,10459,2690.417637441438
841,841,36071,3140.479165257409
842,842,6819,2726.2015280832966
843,843,4206,3569.6959629101284
844,844,4360,2637.33323853211
845,845,11573,1968.8966732912813
846,846,1882,2643.68178533475
847,847,7467,3308.2254104727467
848,848,20219,3167.9659913942332
849,849,1458,2087.658216735254
850,850,2330,1871.5903519313306
851,851,2256,1747.5080496453902
852,852,10330,2289.0190929332043
853,853,6057,2263.4716080567937
854,854,3224,3079.6503008684863
855,855,6564,1946.032134369287
856,856,5769,2213.282145952505
857,857,4950,2162.637955555556
858,858,5726,2127.4810059378274
859,859,4073,2063.0718733120552
860,860,6093,2040.8286262924669
861,861,4923,2104.2807739183427
862,862,1433,2280.8184577808793
863,863,3316,2123.7826477683957
864,864,4306,1802.7765954482118
865,865,1329,964.329036869827
866,866,3247,2246.6674992300586
867,867,6092,2191.9616841759685
868,868,7216,1475.4281444013304
869,869,4208,2134.9375047528515
870,870,4907,2157.8475606276747
871,871,4991,2791.848076537768
872,872,4339,2049.553178151648
873,873,7095,1241.650115574348
874,874,10730,1172.0524930102517
