,basy_zyzd_jbbm_for_str_4,basy_yydj,age_group,AGE-HAOCAI-4-only_disease-E,AGE-JCJY-4-only_disease-E,AGE-YP-4-only_disease-E,AGE-ZFY-4-only_disease-E,记录条数-4-only_disease
157,A16.,6,6,1663.1760144927537,6399.425942028985,3591.0820289855073,15862.708550724636,138
158,A16.,6,8,1103.4106399999998,5578.11888,2870.0968,12735.0184,125
159,A16.,6,9,819.7328,7518.1648,3529.5697999999998,16331.1304,50
202,A18.,6,1,2747.6245454545456,7536.306818181818,5545.602727272727,22584.142727272727,22
203,A18.,6,2,2127.529375,6128.902708333334,3389.3975000000005,17850.079166666666,48
204,A18.,6,3,2523.04320754717,5775.213962264152,3572.0522641509433,18247.409811320755,53
205,A18.,6,4,3926.4683333333337,6657.653541666667,3604.70875,20682.163125,48
206,A18.,6,5,6476.495696202532,7848.065189873418,5568.74088607595,29887.992151898732,79
207,A18.,6,6,5807.630606060606,7712.640303030304,5271.681212121212,28257.127575757575,33
208,A18.,6,8,4825.39625,7794.996875,4572.680625,25150.2584375,32
298,A41.,3,6,695.3262068965516,7272.958620689655,4742.762413793103,19751.92448275862,29
299,A41.,3,8,1243.5031818181817,7209.139545454545,8652.227954545453,29840.785454545457,44
300,A41.,3,9,949.86,6705.13737704918,5307.60737704918,19965.372131147542,61
306,A41.,4,6,2428.467142857143,12700.353928571427,17859.36642857143,55769.68,28
307,A41.,4,8,1135.2544680851063,6073.584680851063,7089.2834042553195,21253.646170212767,47
308,A41.,4,9,1202.0203921568627,8866.86411764706,9768.59843137255,28311.832156862743,51
309,A41.,5,0,305.56703703703704,1077.9074074074074,645.8318518518519,3346.0888888888885,27
313,A41.,5,4,995.2348148148149,6178.218888888889,5550.4596296296295,19045.591111111113,27
314,A41.,5,5,1125.2323958333334,6513.6221875,5522.960625,20269.403541666667,96
315,A41.,5,6,1292.807142857143,6598.28380952381,5515.629619047619,20891.870285714285,105
316,A41.,5,8,1376.4198395721926,7470.8022459893045,5672.9796256684485,22452.705080213902,187
317,A41.,5,9,1336.4153333333334,7379.624866666666,6245.6122,22712.781933333332,150
318,A41.,6,0,710.2808433734939,3249.215502008032,2105.984096385542,8951.01626506024,249
319,A41.,6,1,834.5233333333334,6470.085208333333,4721.284375,16405.455625,48
320,A41.,6,2,2722.4602564102565,10454.583846153846,17810.587435897436,43484.29538461538,39
321,A41.,6,3,3591.0570731707317,14153.721463414633,20159.40743902439,56940.457926829265,82
322,A41.,6,4,4280.103986928105,12468.383594771241,13316.51908496732,44580.02366013072,153
323,A41.,6,5,2701.3020541760725,11515.6451241535,10664.393250564333,35842.08,443
324,A41.,6,6,2940.0499602385685,12411.684155069583,11406.732166998012,40140.45103379722,503
325,A41.,6,8,2805.7078260869566,12344.692292490117,10359.339209486167,37785.38272727273,759
326,A41.,6,9,1864.973114973262,11513.504772727274,8928.02243315508,33430.277045454546,748
384,A49.,6,6,532.9490476190476,5080.16,5281.247619047619,15171.873333333331,21
385,A49.,6,8,1368.4075999999998,6194.4612,5708.854,18826.7756,25
386,A49.,6,9,766.9784,7142.6568,5108.0512,20775.494,25
450,A86.,6,0,712.759375,4867.839791666666,4148.4679166666665,13838.965833333334,48
455,A86.,6,5,1151.8899999999999,9633.172592592593,5520.138518518519,26451.63,27
457,A86.,6,8,910.5675757575757,7788.255151515152,3999.747272727273,18847.152121212122,33
512,B02.,5,5,794.1838095238096,1364.762380952381,948.6542857142858,5232.386666666666,21
513,B02.,5,6,1147.8348484848486,1867.7266666666665,1160.1245454545456,6622.431515151515,33
514,B02.,5,8,1288.7162857142857,2065.0277142857144,1181.797142857143,6930.0797142857145,35
518,B02.,6,3,772.6276190476191,2211.4666666666667,1364.4514285714286,7375.0404761904765,21
519,B02.,6,4,814.243409090909,2151.231818181818,1346.1006818181818,7716.022272727272,44
520,B02.,6,5,1384.8089393939395,2655.0632575757572,1781.7948484848487,9618.4275,132
521,B02.,6,6,1384.38,2822.6878191489363,1657.1978723404256,10275.310212765959,188
522,B02.,6,8,1751.3157653061226,2885.1344897959184,1614.9015816326532,10672.440204081633,196
523,B02.,6,9,1255.614875,3045.953125,1774.5279999999998,10281.32275,80
544,B08.,6,0,330.352,1753.914,1033.324,4467.5109999999995,30
572,B18.,6,3,941.5669696969696,3884.338787878788,4456.4821212121215,13459.971212121212,33
573,B18.,6,4,2921.9645714285716,4928.594285714285,4978.196285714285,19700.44685714286,35
574,B18.,6,5,2465.9885185185185,4847.191111111111,3557.4798148148147,16124.252037037037,54
589,B20.,6,3,526.3765384615385,9374.211538461539,12209.961538461539,26549.611153846156,26
590,B20.,6,4,932.7737500000001,10715.740625,13812.9103125,31305.9421875,32
591,B20.,6,5,723.2172093023256,8157.63534883721,9277.509302325581,23619.712325581397,43
592,B20.,6,6,850.3083333333333,10693.29,10052.440999999999,27146.819333333333,30
648,B27.,6,0,365.1649411764706,1568.2183529411764,1012.8285882352941,4494.237176470588,85
685,B37.,6,5,2925.1227272727274,12617.359090909093,15478.09181818182,44392.52212121212,33
686,B37.,6,6,1269.7433333333333,9973.839074074074,9335.296666666667,31291.304259259257,54
687,B37.,6,8,1230.8909615384616,9498.78028846154,8448.827692307694,27135.36230769231,104
688,B37.,6,9,1356.149793814433,10728.436804123712,8731.404329896906,29204.31443298969,97
716,B44.,6,4,1348.0867441860466,5944.083023255814,6290.470930232558,20382.224651162793,43
717,B44.,6,5,2583.4006976744186,7078.789999999999,8737.511046511627,26392.577790697673,86
