,医院名称,检查检验费均值
1859,德昌县人民医院,1307.313534
2558,泸州市龙马潭区人民医院,1306.176999
1780,广汉市中医医院,1304.786845
3152,苍溪县精神卫生防治院,1304.461864
1794,广汉雒康医院,1302.539109
3953,青川县人民医院,1300.576503
1202,宏州医院,1300.368421
2499,沐川县人民医院,1293.835527
3550,通川区中医院,1293.101953
0,万源仁合医院,1289.018453
3352,西充康桥医院,1287.639518
2725,盐亭县中医医院,1287.448227
123,中江惠民中西医结合医院,1286.30137
192,乐山市沙湾区人民医院,1285.696706
1693,广元市利州区第二人民医院,1285.175439
231,乐至县良安镇中心卫生院（乐至县第三人民医院）,1283.732222
154,乐山市五通桥区中医医院,1282.750334
2229,成都高新好医生第一医院,1279.025806
486,内江市妇幼保健院,1276.30553
3666,邛崃市文君社区卫生服务中心,1276.031348
3414,资中资州医院,1274.771744
1458,岳池川东医院（岳池红十字川东医院）,1272.727778
856,古蔺县中医医院,1271.894198
883,古蔺德康医院,1271.726269
1177,安岳县永清镇中心卫生院,1270.327473
2241,攀枝花市仁和区人民医院,1269.51044
2557,泸州市龙马潭区中医医院,1266.891615
1842,彭州市第四人民医院（彭州市精神卫生中心）,1265.657534
853,叙永民康医院,1265.2052
503,内江市第六人民医院,1264.301107
919,四川中医肝病医院,1259.816863
584,剑阁县第一人民医院,1255.046279
2235,成都龙泉驿锦欣慢性病医院,1252.369543
2590,洪雅县精神康复医院,1249.513043
1252,宜宾市工人医院,1249.304776
3328,西充县中医医院,1249.218695
1652,平武县人民医院,1248.447281
3759,金堂黄氏中西医骨科医院,1248.042431
608,北川羌族自治县第三人民医院,1243.888721
2554,泸州市纳溪区中医医院,1243.13086
452,兴文县人民医院,1242.002329
2186,成都西部痛风风湿医院（成都西部痛风风湿医院互联网医院）,1240.243419
299,仁寿县中医医院,1236.891701
2696,甘孜州泸定县人民医院,1235.812982
3888,雅安市名山区人民医院,1228.185559
2424,江安县人民医院,1226.356249
2838,石棉县人民医院,1226.056297
2226,成都高新同爱医院,1225.921379
816,南部嘉伦医院,1224.80283
1504,崇州市妇幼保健计划生育服务中心（崇州市妇幼保健院）,1220.557648
3973,青神县人民医院,1218.762241
1529,巴中嘉禾妇儿医院,1217.954019
249,九龙县人民医院,1215.974622
3554,通川区复兴镇卫生院,1215.963415
594,北川羌族自治县人民医院,1214.08762
3601,通江茹氏骨科医院,1213.738226
1542,巴中市恩阳区中医医院,1212.420575
1519,崇州老年病医院,1212.346
2162,成都温江圣母妇产医院,1211.988308
2112,成都市青羊区妇幼保健计划生育服务中心（成都市青羊区妇幼保健院）,1211.015625
1948,成都中德肾病医院,1208.688596
2152,成都新都西桥医院,1208.124553
580,剑阁县白龙镇中心卫生院,1206.898969
3113,芦山县人民医院,1204.303394
3916,雅安雨城容大医院,1203.556684
1460,岳池百兴医院,1203.373684
2016,成都市成华区妇幼保健院,1202.585763
1247,宜宾市叙州区观音镇中心卫生院,1201.267592
2546,泸州久正骨科医院,1201.222222
4011,高县文江镇中心卫生院（高县第二人民医院）,1200.697287
983,四川西婵泛亚整形美容医院,1200
2562,泸州普惠外科医院,1199.687879
1070,天全县中医医院,1197.526453
2135,成都康福肾脏病医院,1196.498088
1676,广元宝轮二医院,1196.455375
1296,宣汉县中医院,1194.97606
1734,广元湘康医院,1187.855422
3054,自贡云山骨科医院,1187.779661
366,仪陇县妇幼保健计划生育服务中心,1186.696879
1777,广汉崇德医院,1185.48125
392,仪陇弘立医院,1182.776779
1399,射洪市金华中心卫生院,1182.017932
3163,苍溪康复医院,1181.538835
763,南部中仁医院,1181.063025
3589,通江县至诚中心卫生院,1180.414323
2649,犍为县中医医院,1179.429386
2707,甘洛县人民医院,1179.311469
3808,阆中名城医院,1178.191954
1801,开江县中医院,1176.407595
2078,成都市郫都区妇幼保健院(成都市郫都区妇幼保健计划生育服务中心）,1174.478038
817,南部瑞康医院,1173.953496
4004,高县人民医院,1173.638419
2575,泸州龙马潭爱尔眼科医院,1169.913793
126,丹巴县人民医院,1169.88371
1314,宣汉县普光镇双河中心卫生院,1168.549353
2547,泸州家和康医院,1165.189617
1265,宜宾市翠屏区妇幼保健计划生育服务中心,1164.49969
722,南江云山骨科医院,1161.954
744,南江县妇幼保健院,1161.590462
3665,邛崃市平乐镇中心卫生院（邛崃市第六人民医院）,1159.50925
2111,成都市青羊区中医医院（青羊区第六人民医院）,1158.416901
2579,洪雅县中医医院,1155.370247
3861,隆昌市中医医院,1154.600604
1994,成都川蜀血管病医院,1152.238836
2082,成都市郫都区犀浦街道社区卫生服务中心（成都市郫都区中西医结合医院）,1151.571141
2386,武胜县第二人民医院（武胜县烈面镇中心卫生院）,1149.682105
2519,泸县中医医院,1149.665006
3663,邛崃市妇幼保健院,1149.492226
214,乐至上好医院,1148.308889
1642,平昌县金宝社区卫生服务中心,1147.890476
1857,德昌县中医医院,1146.814217
2464,江油市第五人民医院,1146.473333
629,南充东方医院,1146.325654
2185,成都西部中西医结合医院,1144.978022
2970,绵阳市安州区中医院,1144.126083
2963,绵阳创伤骨科医院,1143.906615
2230,成都高新普康医院,1142.546575
3653,邛崃品范医院,1142.014286
1253,宜宾市矿山急救医院,1140.787627
1836,彭州市妇幼保健院 彭州市妇女儿童医院,1139.774335
3724,都江堰杰琳康复医院,1139.335422
1497,崇州寿康老年病医院,1137.699138
3609,遂宁市安居区三家镇中心卫生院,1137.608614
1760,广安市广安区悦来中心卫生院,1136.821032
230,乐至县童家镇中心卫生院,1135.475635
1210,宜宾中山医院,1135.288976
3662,邛崃市夹关镇中心卫生院（邛崃市第三人民医院）,1135.203141
3263,蒲江县西来公立中心卫生院,1133.214201
3467,越西县第一人民医院,1132.676454
3879,隆昌通康医院,1129.811643
1184,安岳县通贤镇中心卫生院,1129.697603
2969,绵阳市妇幼保健院（绵阳市儿童医院）,1129.616874
1094,威远县严陵镇卫生院(威远县第二人民医院）,1129.387968
505,内江臻源精神病医院,1129.25
543,凉山州妇幼保健计划生育服务中心（凉山州妇幼保健院、凉山州妇女儿童医院）,1127.020934
1101,威远县新店镇卫生院,1126.507979
1650,平昌江龙医院,1125.643421
3444,资阳毛氏骨科医院,1124.55
2271,旺苍县中医医院,1124.421218
1279,宜宾戎南骨科医院,1123.079667
1764,广安市广安区石笋中心卫生院,1122.176563
1103,威远县第三人民医院,1122.158311
3791,长宁县人民医院,1121.930503
449,兴文县中医医院,1120.345597
1527,巴中博济医院,1119.60551
