,basy_caption,OE
436,大竹县高穴中心卫生院,0.9503611068298607
437,大竹慈卫医院,0.6144665245789751
438,大竹骨科医院,0.527469534898551
439,大英县中医医院,0.474381510109085
440,大英县人民医院,0.5268530377532975
441,大英县回马镇卫生院,0.2259922313794248
442,大英县河边中心卫生院,0.33853275197117283
443,大英君珉骨科医院,1.2162967543405057
444,大邑元兴卫生院,0.4418530596676412
445,大邑县人民医院,0.6713799509197746
446,大邑县出江镇公立卫生院,0.18928288577253136
447,大邑县妇幼保健计划生育服务中心,0.3164839668113127
448,大邑县安仁镇公立卫生院,0.027953387571272394
449,大邑县悦来镇公立卫生院（大邑县第六人民医院）,0.26016355703111604
450,大邑县新场镇公立卫生院,0.20368524413835884
451,大邑县沙渠街道社区卫生服务中心(大邑县第三人民医院）,0.22618367785605153
452,大邑县王泗镇公立卫生院（大邑县第五人民医院）,0.270790328725185
453,大邑县第二人民医院,0.3421215266871484
454,大邑县西岭镇公立卫生院,0.18560933335580815
455,大邑宁康医院,0.25352653767750705
456,大邑希尔医院,0.1971161350601688
457,大邑志昌骨科医院,0.5903831962663296
458,大邑望县中医医院（大邑望县中医医院互联网医院）,0.47265841331485914
459,天全县中医医院,0.6279473762215672
460,天全县人民医院,0.5713678662602913
461,天全天愿医院,0.44277869123065067
462,夹江县中医医院,1.0101128547835811
463,夹江县人民医院,1.0300072205574236
464,夹江县木城镇中心卫生院,0.6943877966004127
465,威远县严陵镇卫生院(威远县第二人民医院）,0.3400291674712643
466,威远县中医医院,0.5040476187989693
467,威远县人民医院,0.641892580097546
468,威远县新场镇卫生院,0.2907560766346845
469,威远县新店镇卫生院,0.16486908937379027
470,威远县第三人民医院,0.6064094703897627
471,威远县连界镇卫生院,0.1036363613823887
472,威远县镇西镇卫生院,0.7477701119474576
473,威远县龙会镇卫生院,1.0375062584246029
474,威远同心医院,0.5197616338034683
475,威远大生医院,0.3330952481012989
476,威远正和医院,0.22769342889005698
477,娇点医学美容医院,0.7957252043181801
478,宁南县中医医院,0.5956968464555779
479,宁南县人民医院,0.5167222692073059
480,宁南县妇幼保健计划生育服务中心（宁南县妇幼保健院）,0.3218557618850818
481,安岳仁良医院有限公司,0.5223621722409149
482,安岳县中医医院,0.5724611813348159
483,安岳县人民医院,0.6256679629612997
484,安岳县兴隆镇中心卫生院,0.23474267070455712
485,安岳县华严镇卫生院,0.6378797850662129
486,安岳县南薰镇卫生院,0.19047458455779528
487,安岳县周礼镇中心卫生院,0.25421605622976384
488,安岳县妇幼保健计划生育服务中心,0.44868695997706476
489,安岳县岳阳镇中心卫生院（安岳县第五人民医院）,0.30805356778797277
490,安岳县思贤镇卫生院,0.18965132303923807
491,安岳县拱桥乡卫生院,0.18574887637290324
492,安岳县李家镇中心卫生院,0.3287395789699054
493,安岳县林凤镇卫生院,0.1913058781372643
494,安岳县毛家镇卫生院,0.1682177896633969
495,安岳县永清镇中心卫生院,0.16705765326564329
496,安岳县石羊镇中心卫生院,0.3100000255233493
497,安岳县第三人民医院,0.4437277961897946
498,安岳县通贤镇中心卫生院,0.6739922574008378
499,安岳县镇子镇中心卫生院,0.7044780325784699
500,安岳县龙台镇中心卫生院（安岳县第四人民医院）,0.44768832752714066
501,安岳川中医院,1.2331090953281802
502,安岳易视眼科医院有限公司,0.7987971695343796
503,安岳锦民妇女儿童医院,0.35116183598816963
504,安州仁晨医院,0.957119550368332
505,安州民生医院,0.5171156769642441
506,宜宾三松医院,0.32015064295093515
507,宜宾三江新区沙坪社区卫生服务中心,0.36496193785625847
508,宜宾三江新区白沙湾社区卫生服务中心,0.4538469237784682
509,宜宾中山医院,0.9888878034056015
510,宜宾利民医院,0.799644124542109
511,宜宾协同医院,0.45114000450017316
512,宜宾和康白花骨科医院,0.7777974235860696
513,宜宾和康骨科医院,0.9357023796543847
514,宜宾国康骨科医院,0.9718912448805271
515,宜宾大欣妇产医院,0.48693869009175456
516,宜宾川南体育骨科医院,0.8407488139042629
