,basy_zyzd_jbbm_3,basy_ssjczbm1_3,count,耗材费
783,27,29,3,293.12666666666667
784,27,31,16,9365.786875
785,27,32,8,6473.9087500000005
786,27,33,385,1098.4026493506494
787,27,34,133,1460.3727067669174
788,27,35,1,87240.08
789,27,36,2,14306.529999999999
790,27,37,5,2064.634
791,27,38,580,1543.9954310344826
792,27,39,177,8970.72757062147
793,27,40,10,1486.828
794,27,41,48,1102.096875
795,27,42,2,2392.435
796,27,43,1,708.1
797,27,44,41,4569.319268292683
798,27,45,46,2298.1280434782607
799,27,46,16,4979.795
800,27,47,9,3865.5699999999997
801,27,48,10,6330.072
802,27,49,9,2048.5488888888885
803,27,50,29,3008.961724137931
804,27,51,53,4611.672264150943
805,27,52,2,863.975
806,27,53,2,4681.335
807,27,54,56,2179.6632142857143
808,27,55,30,3293.227
809,27,56,33,3983.0972727272724
810,27,57,149,1050.7393288590604
811,27,58,3,277.6666666666667
812,27,59,151,1902.9256953642387
813,27,60,7,2042.2442857142858
814,27,61,2,1198.42
815,27,62,2,16261.050000000001
816,27,64,1,415.41
817,27,65,1,2965.55
818,27,69,1,1651.52
819,27,78,2,6068.94
820,27,79,1,3551.0599999999995
821,27,80,4,6703.650000000001
822,27,81,8,3606.87625
823,27,83,10,2447.32
824,27,85,1,789.95
825,27,86,36,3582.340555555556
826,27,87,24,453.59041666666667
827,27,88,41,1836.8285365853658
828,27,89,176,658.1872727272728
829,27,90,8,406.3325
830,27,92,1,2627.54
831,27,93,834,940.0920743405276
832,27,96,1368,4257.678048245614
833,27,97,13,1765.5830769230768
834,27,98,3,2112.3566666666666
835,27,99,253,623.8677075098814
836,27,100,1686,470.0454804270463
837,28,0,4,760.47
838,28,1,3,21917.38333333333
839,28,2,1,54072.02
840,28,3,88,893.6423863636363
841,28,5,1,230.62
842,28,6,3,1540.9566666666667
843,28,14,1,8394.43
844,28,16,1,637.62
845,28,17,81,888.0251851851851
846,28,18,3,663.03
847,28,23,1,852.64
848,28,26,1,9439.08
849,28,27,9,1563.7511111111112
850,28,29,1,7926.23
851,28,31,17,3413.8647058823526
852,28,32,4,4506.1025
853,28,33,279,1002.7402867383512
854,28,34,138,1323.6922463768117
855,28,36,1,23531.87
856,28,37,6,3415.1366666666668
857,28,38,612,1605.3928267973856
858,28,39,166,6705.06186746988
859,28,40,7,1619.0085714285713
860,28,41,74,1363.7014864864866
861,28,42,4,4519.92
862,28,43,2,2036.6
863,28,44,64,1731.21234375
864,28,45,49,5260.67
865,28,46,14,9048.64
866,28,47,20,5776.831499999999
867,28,48,4,3049.54
868,28,49,7,1160.4928571428572
869,28,50,40,3347.7195
870,28,51,39,4766.553333333334
871,28,53,2,4488.264999999999
872,28,54,76,1988.8064473684212
873,28,55,47,3516.701489361702
874,28,56,36,4185.846388888889
875,28,57,152,1009.2571710526315
876,28,58,3,547.43
877,28,59,137,1876.7343795620436
878,28,60,3,2042.2466666666667
879,28,61,5,857.8700000000001
880,28,64,1,6954.53
881,28,65,2,6827.745
882,28,66,4,3931.3
883,28,68,5,2386.288
884,28,69,3,962.4433333333333
885,28,70,1,309.2
886,28,74,2,1028.48
887,28,77,1,5574.780000000001
888,28,78,1,2650.95
889,28,79,3,13524.13
890,28,81,6,606.5383333333333
891,28,82,1,5781.450000000001
892,28,83,11,8619.956363636362
893,28,85,1,435.15
894,28,86,38,2747.8355263157896
895,28,87,19,574.5447368421053
896,28,88,30,1203.4946666666665
897,28,89,158,614.5211392405063
898,28,90,10,482.034
899,28,92,1,2968.6900000000005
900,28,93,603,1027.74728026534
901,28,96,998,4478.198997995992
902,28,97,13,1849.1269230769233
903,28,98,2,832.565
904,28,99,263,618.572433460076
905,28,100,1827,505.848275862069
906,29,0,7,884.0771428571428
907,29,1,2,8001.754999999999
908,29,3,83,1025.9084337349398
909,29,4,5,1141.322
910,29,6,4,1131.435
911,29,7,1,12695.95
912,29,17,99,740.5548484848484
913,29,18,2,337.83
914,29,21,3,1296.1333333333334
915,29,27,9,2391.8133333333335
916,29,28,1,485.67
917,29,29,6,1443.6816666666666
918,29,31,17,5154.193529411765
919,29,32,4,936.505
920,29,33,300,1003.1732333333334
921,29,34,133,1473.6733082706767
922,29,36,1,32431.58
923,29,37,8,8084.1075
924,29,38,598,1674.9023076923077
925,29,39,187,6166.591069518717
926,29,40,13,1565.6615384615384
927,29,41,96,1002.6014583333334
928,29,42,5,2342.562
929,29,43,2,3289.255
930,29,44,64,1822.05953125
931,29,45,65,2369.818
932,29,46,12,7820.028333333333
933,29,47,14,3098.567142857143
934,29,48,12,2393.515
935,29,49,8,1157.2112499999998
936,29,50,46,3781.864782608696
937,29,51,50,5030.1976
938,29,52,2,18260.595
939,29,53,4,3863.4975000000004
940,29,54,80,2121.305875
941,29,55,18,5170.458888888888
942,29,56,43,4079.7844186046514
943,29,57,155,940.5009677419355
944,29,58,1,354.49
945,29,59,178,2023.1702808988764
