,疾病,ICU检查检验均值,ICU次数,非ICU检查检验均值,非ICU次数
202,慢性肾病	,8787.242881355933,826,3039.2322603152725,81263
203,成人型呼吸窘迫综合征,8680.14,49,6067.506231884058,483
204,成纤维细胞疾患,3998.4,7,1449.406040044494,6293
205,截瘫和四肢瘫,11229.733333333334,21,2169.2942764015647,5369
206,房室传导阻滞和左束支传导阻滞,5754.95,126,3871.491056661562,4571
207,"手术和医疗的其他并发症,不可归类在他处者",3572.8624999999997,56,2072.9477906976745,602
208,抑郁发作,1623.0,7,3898.7955859375,7168
209,持久的妄想性障碍,2176.95,7,3327.1805555555557,126
210,摄入食物中其他有害物质的毒性效应,3750.6173770491805,427,1185.7866666666666,9534
211,播散性血管内凝血[去纤维蛋白综合征],1794.5,7,2744.2645454545454,77
212,"操作后内分泌和代谢紊乱,不可归类在他处者",2231.9,7,2036.6636363636364,77
213,"操作后的呼吸性疾患,不可归类在他处者",13139.05,14,3174.444363636364,385
214,"操作并发症,不可归类在他处者",1712.8333333333333,21,1372.542683438155,10017
215,支气管和肺恶性肿瘤,5436.410322580646,217,5747.437180533751,66885
216,支气管扩张(症),4931.4,91,1918.4522228670924,24122
217,"支气管炎,未特指为急性或慢性",1597.3,14,478.59985501155705,33313
218,斑疹伤寒,6589.900000000001,7,1179.0095,420
219,新生儿吸入综合征,456.4,7,2509.8445535714286,1568
220,新生儿呼吸窘迫,2940.0,7,5687.540336391437,4578
221,新生儿的其他大脑障碍,5052.36,7,8258.686545454546,385
222,晕厥和虚脱,3716.05,84,2552.3696196049746,9569
223,晚期梅毒,10773.5,7,3317.623188405797,483
224,曲霉病,32328.12833333333,42,5912.726779026217,3738
225,"有害效应,不可归类在他处者",2236.858823529412,119,1587.0019241982507,2401
226,有机溶剂的毒性效应,13812.328333333335,42,1093.9535714285714,98
227,未特指的器质性或症状性精神障碍,14947.0,7,3879.8077979274613,2702
228,未特指的多处损伤,7868.9,14,1183.3957868020304,1379
229,未特指的慢性支气管炎,6538.0,7,632.1495891220809,118405
230,未特指的病毒性脑炎,6951.894285714286,49,4624.919248554913,2422
231,未特指的真菌病,11858.86125,56,4442.6775956284155,8967
232,未特指的精神发育迟缓,1792.4214285714284,49,562.4580732700136,5159
233,未特指的糖尿病,6414.307142857143,98,1433.2204952830189,8904
234,未特指的肺尘埃沉着病,1355.7,56,1862.253205128205,546
235,未特指的肾炎综合征	,3235.2,7,2322.3514285714286,2156
236,未特指的肾衰竭	,7128.736,70,2637.153222116301,7343
237,未特指的腹疝,11571.5,7,4424.433076923077,637
238,未特指部位的细菌性感染,12633.492499999998,56,1702.313877952756,14224
239,杀虫剂的毒性效应,4391.58124137931,1015,1525.914399008674,5649
240,梗阻性和反流性尿路病	,9750.863333333333,105,1392.7604162505913,266378
241,气胸,4860.28125,112,1915.9878088803089,7252
242,泌尿系和盆腔器官损伤,11203.38,28,3296.4841588785043,1498
243,泌尿系统的其他疾患	,4280.028571428571,49,1025.972357247438,66934
244,流感嗜血杆菌性肺炎,7614.529473684211,133,1711.3446421536441,10661
245,消化系统其他和不明确部位的良性肿瘤,13565.069999999998,7,4272.400016778523,4172
246,消化系统的其他疾病,5297.323771929825,798,2108.002730671813,58037
247,"消化系统的操作后疾患,不可归类在他处者",7129.0,14,2148.0035135135136,4662
248,消化道内异物,1024.25,14,1348.031675,2800
249,涉及使用康复操作的医疗,11018.0,7,1530.5551616915423,5628
250,涉及整形手术的随诊医疗,18455.75,28,2783.741153846154,2002
251,液体-电解质及酸碱平衡的其他紊乱,4008.2349999999997,168,1407.778133748056,9002
252,淀粉样变,1292.0,7,3977.5572222222218,378
253,淋巴、造血和有关组织动态未定或动态未知的其他肿瘤,51401.06,7,5675.751654411765,1904
254,淋巴样白血病,49217.5,14,8344.97738317757,2247
255,"激素类及其合成代用品和拮抗剂中毒,不可归类在他处者",1027.0,7,700.7744444444445,126
256,炎性多神经病,1760.5,7,5057.405481481481,945
257,热和光的效应,4012.305,280,1165.2588451086958,5152
258,特发于围生期的其他感染,308.2,7,2719.5691214470285,2709
259,特发于胎儿和新生儿的暂时性碳水化合物代谢紊乱,207.3,7,2139.292572815534,1442
260,特发性(原发性)高血压,2675.41,49,1926.5443072289158,46480
261,瓣膜未特指的心内膜炎,2620.25,14,1988.3381387478848,4137
262,甲状腺的其他疾患,4720.5,7,2450.7819254658384,1127
263,疱疹病毒[单纯疱疹]感染,11014.3,7,1080.6184329896907,3395
264,病毒性和其他特指的肠道感染,1586.0,7,800.4440506329114,1106
265,"病毒性肺炎,不可归类在他处者",13806.8,35,1542.4648479532163,11970
266,痔,1825.0,7,1187.6809907834102,78988
267,癫痫持续状态,6066.524545454546,385,3185.8038590604024,2086
268,癫癎[癫痫],4935.8553846153845,273,1993.5799289835775,15771
269,百日咳,3289.52,7,894.2693800648299,17276
270,皮肤和皮下组织其他局部感染,416.0,7,690.4721768867925,59360
271,皮肤和皮下组织毛囊囊肿,621.0,7,1082.6663246899661,12418
272,皮肤和皮下组织的局部肿胀、肿物和肿块,993.5,14,1065.7130806310254,15974
273,皮肤恶性黑色素瘤,2520.0,7,4123.675353535354,693
274,皮肤脓肿、疖和痈,12056.8,7,1014.6594128440368,15260
275,直肠恶性肿瘤,13569.166666666666,21,5934.945787269682,16716
276,短暂性大脑缺血性发作和相关的综合征,3360.453846153846,182,1618.3514007395333,176057
277,神经疾患,777.5,14,845.7390876038781,40432
278,"神经系统的其他变性性疾病,不可归类在他处者",2218.8333333333335,21,1719.485580357143,3136
279,神经系统的结核,19528.5,14,6865.70062992126,889
280,移植器官和组织的失败和排斥,9369.5,7,3761.5412499999998,784
281,空,1397.0,7,831.411871788598,28609
282,窒息,4189.25,14,1984.5833333333333,42
283,粒细胞缺乏,2415.5,14,2034.3451219512194,1722
284,精神分裂症,1581.6619999999998,175,2954.593543147208,6895
285,系统性红斑狼疮,12914.0,14,2955.9785818561,6713
286,紫癜和其他出血性情况,2670.3444444444444,63,2026.8059595959596,14553
287,累及女性生殖道的瘘	,2611.0,7,3482.3734042553197,329
288,累及循环和呼吸系统的其他症状和体征,2290.5,14,1324.0372504378283,3997
289,累及认知功能和意识的其他症状和体征,896.5,7,3224.6214285714286,49
290,"累及身体多个部位的其他损伤,不可归类在他处者",12860.0,7,988.7205882352941,238
291,累及身体多个部位的开放性伤口,3831.8375,28,1092.544075829384,1477
