,basy_caption,耗材费
542,宜宾旌宏眼科医院,1829.4767527675276
543,宜宾普爱老年病医院,4037.572037037037
544,宜宾民心创伤骨科医院,4369.033152173913
545,宜宾爱尔优视眼科医院,1718.3437313432837
546,宜宾肛泰肛肠医院,1155.9959349593496
547,宝兴县人民医院,572.0453333333334
548,宣汉县三墩土家族乡卫生院,241.4975
549,宣汉县中医院,1395.3855653710248
550,宣汉县人民医院,3031.538769031422
551,宣汉县南坝镇中心卫生院,1734.7201315789475
552,宣汉县厂溪乡卫生院,384.72333333333336
553,宣汉县土黄镇中心卫生院,1215.9542424242425
554,宣汉县大成镇卫生院,388.03000000000003
555,宣汉县妇幼保健计划生育服务中心,926.4569473684211
556,宣汉县峰城镇中心卫生院,340.9
557,宣汉县新华镇中心卫生院,293.044375
558,宣汉县普光镇双河中心卫生院,1362.312658227848
559,宣汉县樊哙镇中心卫生院,940.1454054054053
560,宣汉县清溪镇中心卫生院,1776.6157142857141
561,宣汉县第三人民医院,1164.4687130434784
562,宣汉县精神病医院,624.0471717171718
563,宣汉县胡家镇中心卫生院,802.19775
564,宣汉县马渡关镇卫生院,282.245
565,宣汉同盛医院,2741.225
566,宣汉蒲晶眼科医院,1472.7488584474886
567,富顺县中医医院,2548.353005725191
568,富顺县人民医院,2705.6799260733583
569,富顺县代寺镇中心卫生院,1151.510909090909
570,富顺县妇幼保健院,631.1236096256685
571,富顺县怀德镇中心卫生院,542.0
572,富顺县晨光医院（富顺县第三人民医院）,1541.8374999999999
573,富顺县板桥镇中心卫生院,599.644
574,富顺县永年镇中心卫生院,562.0
575,富顺县赵化镇中心卫生院,1385.3333333333333
576,富顺天善眼科医院,2414.4716981132074
577,富顺西区老年病医院,2309.661517857143
578,富顺赵化岭南医院,4681.178064516129
579,富顺鸽王护理院,3312.728666666667
580,射洪市中医院,2771.435034285714
581,射洪市人民医院,3155.0199374097256
582,射洪市仁和中心卫生院,427.5280000000001
583,射洪市太乙中心卫生院,867.0083333333333
584,射洪市妇幼保健院（射洪市妇幼保健卫生服务中心）,510.7570857142857
585,射洪市沱牌中心卫生院,503.5967857142858
586,射洪市潼射镇卫生院,250.85000000000002
587,射洪市红十字医院（射洪市武安中心卫生院）,1089.5225490196078
588,射洪市金华中心卫生院,1538.4822222222224
589,射洪市青岗中心卫生院,319.6666666666667
590,射洪老年病医院,1195.0273333333332
