,basy_yydj,basy_ssjczbm1_for_str_7,age_group,AGE-HAOCAI-only_operation-7-E,AGE-JCJY-only_operation-7-E,AGE-YP-only_operation-7-E,AGE-ZFY-only_operation-7-E,记录条数-only_operation-7
19252,5,68.2912,4,1565.8171568627452,2294.9170588235297,1386.199019607843,11625.572549019607,102
19253,5,68.2912,5,1947.627619047619,2299.808571428571,1131.174761904762,11946.105714285713,21
19255,5,68.2913,3,899.6109677419356,1491.5858064516128,501.7222580645161,6198.435161290322,31
19256,5,68.2913,4,997.0396491228071,1605.9378947368423,548.1014035087719,6652.152631578948,57
19257,5,68.2913,5,793.2507407407408,1606.874074074074,587.6107407407408,5941.361481481482,27
19262,5,68.2915,2,692.7080597014925,1378.279104477612,447.2661194029851,5393.90432835821,67
19263,5,68.2915,3,634.3566341463414,1391.8301951219512,489.03565853658534,5403.553609756097,205
19264,5,68.2915,4,679.144476534296,1478.811010830325,530.073249097473,5704.729133574007,277
19265,5,68.2915,5,670.3122764227643,1614.9541463414632,509.79008130081303,5743.383983739837,123
19271,5,68.2917,3,775.7190243902439,1251.3939024390245,627.6717073170732,6034.970975609756,41
19272,5,68.2917,4,835.5694736842105,1654.5973684210526,718.448947368421,6902.615,38
19273,5,68.2917,5,839.8671428571428,1535.252380952381,524.2809523809524,6287.736666666667,21
19290,5,68.4100,4,1927.80663507109,2975.0868246445493,1416.2672985781992,13958.172843601897,211
19291,5,68.4100,5,1847.453583815029,3262.0632947976874,1557.3826589595376,14505.178208092486,173
19292,5,68.4100,6,1676.2619565217392,3250.115869565217,1459.6384782608695,13700.608478260869,46
19306,5,68.4901,4,1329.1732692307692,3466.4076923076927,1433.5357692307693,12683.427115384615,52
19307,5,68.4901,5,1278.8765116279071,4397.525581395349,1671.8593023255814,14360.154418604652,43
19336,5,68.5901,5,709.2733333333334,2461.485,1339.5454166666666,9811.670833333334,24
19337,5,68.5901,6,822.3938095238095,2627.1161904761907,1196.4435714285714,9846.887142857144,42
19338,5,68.5901,8,665.3020512820513,2808.7333333333336,1161.3558974358973,9885.143333333332,39
19361,5,69.0200,2,395.43879999999996,916.084,417.94559999999996,2932.3456,25
19365,5,69.0201,2,447.8853571428572,770.4928571428571,515.0196428571428,3554.194285714286,28
19369,5,69.0202,2,457.046,893.0165714285715,462.2842857142857,4539.480285714286,35
19380,5,69.0902,3,487.3374193548387,1384.4390322580646,601.7283870967742,4472.503225806452,31
19381,5,69.0902,4,442.4212162162162,1493.2154054054054,587.1477027027028,4410.913108108109,74
19382,5,69.0902,5,471.9207142857143,1604.7428571428572,590.9303571428571,4585.921785714286,28
19409,5,69.5101,3,509.9980952380952,410.9761904761905,317.8104761904762,2250.18,21
19417,5,69.5103,2,667.246,885.345,533.757,4062.99925,40
19418,5,69.5103,3,670.930350877193,911.1631578947369,491.78473684210525,3970.970350877193,57
19457,5,70.5001,5,633.5596296296296,1552.9555555555557,911.0051851851852,7349.484444444445,27
19528,5,71.7102,2,452.80954545454546,997.3681818181817,670.2086363636364,5955.056818181818,22
19552,5,73.0900,2,440.17564102564097,984.0097435897435,483.71923076923076,4330.150512820513,39
19570,5,73.5900,2,388.58514705882357,1126.1841911764704,629.6225000000001,5369.997941176471,136
19571,5,73.5900,3,431.4898484848485,1437.2080303030302,627.9474242424242,5661.785,66
19575,5,73.6x01,1,483.1528301886792,1329.6350943396228,550.5594339622642,5156.994905660377,53
19576,5,73.6x01,2,455.8992607003891,1175.9366536964978,572.8827431906615,5227.634552529184,514
19577,5,73.6x01,3,464.12342105263156,1286.1808771929825,653.8925438596491,5523.010263157895,114
19591,5,74.1x01,1,650.2357370517929,1285.0760557768926,1106.8687250996015,6506.656454183267,251
19592,5,74.1x01,2,733.987664618086,1233.7115386303774,1111.282335381914,7138.185300702371,4556
19593,5,74.1x01,3,758.7319609967496,1244.2806789454678,1162.211744312026,7580.404470928133,2769
19594,5,74.1x01,4,738.9856390977443,1489.6515037593986,1360.852105263158,8266.128571428571,133
19603,5,74.3x00,3,669.9697674418604,1292.9437209302325,698.7579069767442,5875.7969767441855,43
19617,5,74.4x00,2,843.7068,1495.92,1124.4836,7482.544,25
19630,5,75.0x02,3,356.7685714285714,1094.9495238095237,701.2104761904762,4021.542857142857,21
19647,5,75.6900,2,386.75351351351355,1311.1841216216217,609.4197297297297,5648.717432432432,148
19648,5,75.6900,3,375.53458333333333,1251.2637499999998,632.2102083333333,5715.07125,48
19650,5,75.6902,1,427.6628888888889,1292.4135555555556,521.0604444444444,4887.701111111111,45
19651,5,75.6902,2,424.2814067278287,1175.0680886850153,547.644113149847,5188.849327217125,654
19652,5,75.6902,3,414.2160660660661,1190.1257057057057,599.4868168168168,5314.8379879879885,333
19920,5,78.6103,3,667.5082352941176,1002.1,550.4114705882354,4966.974117647059,34
19921,5,78.6103,4,490.0525,1032.79625,459.9097916666667,4576.3204166666665,48
19922,5,78.6103,5,559.7026213592234,1165.5365048543688,721.9534951456311,5183.5154368932035,103
19923,5,78.6103,6,700.2566666666667,1326.0175000000002,661.9866666666667,5523.569583333334,24
19933,5,78.6201,0,532.0985294117646,739.4564705882353,348.8241176470588,4041.84,34
19937,5,78.6201,4,671.3111428571428,1165.0382857142856,960.9974285714287,5761.699714285714,35
19938,5,78.6201,5,577.453023255814,1239.4227906976744,688.5703488372093,5448.961627906977,86
19939,5,78.6201,6,654.8551219512195,1300.9124390243903,815.601463414634,5600.245853658536,41
19946,5,78.6301,3,610.4986363636364,1047.455909090909,743.3522727272727,5094.827727272727,22
19947,5,78.6301,4,500.9117948717949,1190.7264102564102,696.9048717948718,5585.573333333333,39
19948,5,78.6301,5,557.3095402298851,1125.711264367816,823.9590804597701,5503.577011494253,87
19949,5,78.6301,6,547.9696875,1476.940625,916.0959375,6063.565,32
19956,5,78.6303,5,531.4205714285714,1241.22,573.3217142857143,5150.183142857143,35
19972,5,78.6501,4,641.3430000000001,1166.6286666666667,665.9159999999999,5787.984666666667,30
19973,5,78.6501,5,928.4721568627451,1242.7549019607843,856.0770588235295,6496.722156862746,51
19974,5,78.6501,6,799.5123076923077,1680.7923076923075,952.77,6609.850769230769,26
19982,5,78.6601,4,590.2282758620689,1215.7086206896552,624.0334482758622,5217.648275862069,29
19983,5,78.6601,5,499.01015384615386,1254.7115384615386,658.8447692307693,5310.678307692308,65
19984,5,78.6601,6,605.1290625,1247.2425,673.6584375,5493.7225,32
19990,5,78.6701,2,615.5861538461538,1146.4757692307692,576.2161538461539,5512.00423076923,26
19991,5,78.6701,3,656.0924561403508,1258.0235087719298,737.1394736842107,6396.391754385965,57
19992,5,78.6701,4,633.5054838709677,1147.4889247311828,713.5493548387096,5906.050967741935,93
19993,5,78.6701,5,757.5057777777778,1267.2182777777778,944.2300555555556,6502.453833333333,180
19994,5,78.6701,6,715.10015625,1574.75796875,913.18546875,6940.72625,64
20002,5,78.6703,5,570.5110714285714,1020.8525,685.9371428571428,5432.99,28
20008,5,78.6705,4,480.1914705882353,1211.5491176470587,485.415,5180.994705882353,34
20009,5,78.6705,5,522.3176623376623,1172.685844155844,721.9941558441559,5729.672337662338,77
20010,5,78.6705,6,575.1334482758621,1277.2127586206896,773.1003448275862,5870.378275862069,29
20014,5,78.6800,4,627.764,1139.25625,619.6305,5482.7215,40
20015,5,78.6800,5,474.9936585365853,1102.7731707317073,642.9521951219513,5085.683658536585,41
20027,5,78.6803,5,455.7442857142857,1069.865238095238,681.4033333333333,5234.326190476191,21
20034,5,78.6900,5,652.5649999999999,1384.9920833333333,1237.4858333333334,6845.175,24
20054,5,78.6907,4,913.6222580645161,1233.5090322580645,956.0617741935484,6927.606935483871,62
20055,5,78.6907,5,801.2761437908497,1266.2188235294118,1086.914248366013,6965.5648366013065,153
20056,5,78.6907,6,868.0856818181818,1269.1631818181818,1088.135909090909,6936.554772727272,44
20130,5,79.1500,5,2352.3308888888887,2761.307333333333,2254.9664444444447,13953.440444444446,45
20131,5,79.1500,6,2740.4933333333333,3797.243529411765,2648.5870588235293,17474.25156862745,51
20132,5,79.1500,8,2498.873966942149,4246.962314049587,2311.2935537190083,17647.71950413223,121
20133,5,79.1500,9,2729.7362500000004,4776.53722826087,2454.3469565217392,18560.662445652175,184
20139,5,79.1600,5,3359.364814814815,3132.5074074074073,3273.1455555555553,18236.943703703702,27
20197,5,79.3100,0,1546.8419444444444,1347.8313888888888,749.5308333333334,8529.778055555556,36
20198,5,79.3100,1,2184.0554838709677,1603.8525806451612,989.4322580645162,9981.34935483871,31
20200,5,79.3100,3,3852.3936666666664,2298.435,1717.1443333333334,14576.030666666666,30
20201,5,79.3100,4,5044.25175,2601.968,2230.21,18221.3445,40
20202,5,79.3100,5,4434.2451200000005,2695.93632,2152.90744,16621.20488,125
20203,5,79.3100,6,4739.030877192982,2811.804298245614,2079.254298245614,16784.507192982455,114
20204,5,79.3100,8,5087.146842105263,3306.6797368421053,2318.719912280702,18106.18192982456,114
20205,5,79.3100,9,5114.980476190476,3426.8478571428577,2135.0014285714287,19559.821666666667,42
20211,5,79.3101,5,3434.362916666667,2570.5929166666665,2203.1095833333334,15263.307083333333,24
20216,5,79.3200,1,2138.711346153846,1528.065769230769,909.2140384615384,9398.992692307693,52
20218,5,79.3200,3,3880.0758620689653,2461.641379310345,2372.881034482759,15420.31172413793,29
20219,5,79.3200,4,3983.1552173913046,2240.4030434782608,2155.6530434782608,15537.70579710145,69
20220,5,79.3200,5,3515.78717948718,2489.181666666667,2329.7764743589746,14876.779807692306,156
20221,5,79.3200,6,3311.0050617283946,2414.8446913580246,1968.1103703703704,13985.451728395063,81
20222,5,79.3200,8,3426.4476470588233,2835.6507843137256,2137.648431372549,15879.469607843137,51
20246,5,79.3300,5,2084.843214285714,2205.983928571429,1801.9996428571428,11531.361428571428,28
20258,5,79.3400,4,1346.9624137931032,1342.228275862069,1680.3703448275862,9746.43448275862,29
20259,5,79.3400,5,1845.3697999999997,1197.221,1890.5323999999998,10963.533000000001,50
20274,5,79.3500,3,6622.636666666666,3737.2680952380956,4363.506666666666,26268.328571428574,21
20275,5,79.3500,4,7377.288260869565,4008.867608695652,3764.0658695652173,26451.677391304347,46
20276,5,79.3500,5,6257.73037037037,4164.361666666667,3531.6981481481484,24790.13546296296,108
20277,5,79.3500,6,5228.181274509804,4147.085980392157,3263.7458823529414,22825.126274509803,102
20278,5,79.3500,8,4140.902662721894,4428.5633136094675,3112.654201183432,21792.143372781065,169
20279,5,79.3500,9,3347.9250980392158,5029.2828758169935,3288.3336601307187,22612.338431372547,153
20286,5,79.3501,9,2677.412380952381,6328.266666666667,4165.256666666666,30877.55238095238,21
20288,5,79.3600,1,4443.783846153847,2271.0578846153844,1688.4015384615386,15039.068653846156,52
20289,5,79.3600,2,4633.72064516129,2114.421935483871,2077.357419354839,16170.648870967741,62
20290,5,79.3600,3,4973.544166666667,3018.629537037037,3046.2236111111115,20735.42564814815,108
20291,5,79.3600,4,4930.741007194245,2646.3437410071942,2652.8978417266185,19138.106834532377,139
20292,5,79.3600,5,4764.380601265822,2971.020348101266,2811.8542721518984,19768.396392405062,316
20293,5,79.3600,6,5401.608581560284,3433.069361702128,2620.8058865248227,21484.872836879433,141
20294,5,79.3600,8,4475.131842105264,3539.2334210526315,2608.506710526316,19517.011447368423,76
20301,5,79.3601,5,4357.368387096774,3692.4322580645157,3519.6777419354835,24721.01,31
20317,5,79.3603,5,3441.1582608695653,2575.021739130435,2416.958695652174,20149.894347826088,23
20324,5,79.3604,5,3341.1254545454544,2346.9295454545454,1791.4077272727272,14978.373636363634,22
20325,5,79.3604,6,3927.1458620689655,2535.994827586207,1994.8924137931033,16004.280689655174,29
20331,5,79.3700,3,3691.029189189189,2241.512972972973,2004.8913513513512,14991.082972972972,37
20332,5,79.3700,4,4187.193214285714,2307.1910714285714,2441.3064285714286,16667.28982142857,56
20333,5,79.3700,5,4162.501851851852,2406.7065432098766,2451.1772839506175,16386.306666666667,81
20334,5,79.3700,6,2721.9355555555553,2133.983333333333,2443.49,14063.568888888889,27
20354,5,79.3900,1,2659.6505128205126,1776.6979487179487,1172.0930769230768,10728.473846153845,39
20355,5,79.3900,2,3208.5882857142856,1931.0474285714288,1828.4582857142857,12820.89342857143,35
20356,5,79.3900,3,3409.9475471698115,2854.564528301887,2016.4924528301885,15514.4420754717,53
20357,5,79.3900,4,4367.094087591241,2766.511167883212,2511.7537956204383,16911.186277372264,137
20358,5,79.3900,5,5162.125913978495,2992.9682437275987,2659.736953405018,17729.61896057348,279
20359,5,79.3900,6,5223.891351351352,3535.3803378378375,2624.682027027027,19136.62844594595,148
20360,5,79.3900,8,6024.3547,3582.6901000000003,2661.5671,19954.8891,100
20368,5,79.3903,5,15419.349333333334,4426.15,5597.867666666667,36020.285,30
20516,5,80.5100,5,4879.298888888889,3347.751851851852,2211.7114814814813,19372.18074074074,27
20517,5,80.5100,6,5879.012692307691,3823.675,2437.7353846153846,20618.802307692305,26
20548,5,80.5111,4,2386.4195454545456,2575.181818181818,1167.4545454545455,11559.525454545454,22
20549,5,80.5111,5,3137.347435897436,3270.3851282051282,1489.9971794871794,14488.375128205129,39
20550,5,80.5111,6,5622.892,2897.1216,1453.5711999999999,16157.7996,25
20556,5,80.5200,5,1987.5184615384617,3042.971153846154,1628.3700000000001,9797.067307692309,26
20579,5,80.6x06,5,1734.8709523809525,1976.705238095238,1669.0052380952382,12410.195714285714,21
20698,5,81.0801,5,7312.637941176471,3753.0729411764705,2875.212941176471,25988.30088235294,34
20699,5,81.0801,6,8811.412916666666,4446.65625,2726.6354166666665,26338.535416666666,24
20700,5,81.0801,8,10642.967142857144,4618.37,2763.9674999999997,29930.73464285714,28
20758,5,81.4700,4,4809.254242424243,1991.7106060606059,961.9878787878788,13737.186060606062,33
20759,5,81.4700,5,4493.210506329114,1820.3396202531649,1018.6250632911393,12867.182278481014,79
20760,5,81.4700,6,4409.589354838709,2366.6732258064517,1116.5625806451615,13252.943548387097,31
20769,5,81.5100,4,11920.381851851851,3484.3696296296293,2600.928148148148,26966.30185185185,27
20770,5,81.5100,5,10604.761048387098,3440.708629032258,2889.4504032258064,27032.51290322581,124
20771,5,81.5100,6,10020.309772727273,3432.2991666666667,2636.088181818182,25982.710075757575,132
20772,5,81.5100,8,9659.829785714284,4031.8455714285715,2837.9755,27213.996857142858,140
20773,5,81.5100,9,10631.723703703703,3569.290740740741,2416.225925925926,25814.076296296298,27
20776,5,81.5200,8,10616.01725,5529.163,3125.25275,31167.922749999998,40
20777,5,81.5200,9,11012.903846153846,5130.802692307692,3042.2534615384616,29845.158333333333,78
20780,5,81.5201,8,10850.971363636363,4052.8522727272725,3066.2171212121216,27422.980909090908,66
20781,5,81.5201,9,11348.574636363635,4954.458818181818,2964.5190000000002,29445.46009090909,110
20783,5,81.5400,5,9582.81984375,4057.579375,3390.91859375,27753.89609375,64
20784,5,81.5400,6,9748.702469135802,3744.1937037037037,2972.890185185185,26462.989629629632,162
20785,5,81.5400,8,8117.033070175439,3955.038859649123,2800.619649122807,25627.39789473684,114
20792,5,81.6500,5,2122.659387755102,3019.6879591836732,933.4728571428572,10030.371428571429,49
20793,5,81.6500,6,2513.001856287425,3377.3753892215573,1210.3605988023953,11118.54880239521,167
20794,5,81.6500,8,2555.6612359550563,3533.9951685393257,1230.630224719101,11336.27011235955,356
