,最小样本数量,费用类型,记录总数,统计特征长度,原始训练数据量,原始验证数据量,训练数据可预测数据量,测试数据可预测数据量,训练数据可预测数据的均方差,测试数据可预测数据的均方差,训练数据可预测数据的O/E标准差,测试数据可预测数据的O/E标准差,训练数据可预测数据O/E均值,测试数据可预测数据O/E均值
42,5###10,耗材费,4266194,9,3412955,853239,165149,37110,6738.490542573688,7133.761831461756,0.6637820517246883,1.654889779460155,1.0000000000000002,1.1264328655897768
43,10###15,耗材费,4266194,9,3412955,853239,108626,25888,6979.929510261289,8322.618736784185,0.7667649150921652,1.9125812505754316,1.0,1.1034943639074875
44,15###20,耗材费,4266194,9,3412955,853239,80875,19427,6940.957672596411,8129.081039786506,0.7999659954323493,1.6448369774492486,1.0,1.0788025158625203
45,20###30,耗材费,4266194,9,3412955,853239,126719,31065,6444.550551243684,6907.837103127506,0.8383023665370739,1.614409171983406,1.0000000000000002,1.048927509028636
46,30###50,耗材费,4266194,9,3412955,853239,180896,44231,7007.704896137567,7372.94961545394,0.9039870474736215,1.0544083718472739,1.0,1.0152383172207786
47,50###100,耗材费,4266194,9,3412955,853239,266986,66273,6343.4635096369975,6180.110676600703,0.9460649460156711,1.1741163326742414,1.0,1.0181610311798466
48,100###1000000,耗材费,4266194,9,3412955,853239,2089928,520661,4362.55609357133,4401.148814499353,0.9566934285174331,1.0122771586297146,0.9999999999999998,1.0039633280971147
49,5###10,检查检验费,10349151,3,8279320,2069831,61394,14581,3502.7920571155773,3558.175951278933,0.5506797836429158,0.8673949945092927,1.0,1.0846232470914745
50,10###15,检查检验费,10349151,3,8279320,2069831,49949,12145,3594.088430040401,4049.7616214282552,0.5960584783872855,0.9775168808553708,0.9999999999999999,1.0435589610556772
51,15###20,检查检验费,10349151,3,8279320,2069831,42589,10349,3743.822546845744,3378.7443608257986,0.6272729822585811,0.8448038053179902,1.0,1.0258028361749054
52,20###30,检查检验费,10349151,3,8279320,2069831,73868,18258,3720.756869354647,3190.7903937278434,0.6427464226726641,0.732504933024532,0.9999999999999998,1.0092431513596363
53,30###50,检查检验费,10349151,3,8279320,2069831,122662,30669,3330.6516612314053,3212.5418174852125,0.6706852402476123,0.7046900232824763,0.9999999999999999,1.0117119842501252
54,50###100,检查检验费,10349151,3,8279320,2069831,234470,58142,3113.2146406950746,3466.303773772518,0.6746644843596366,0.7807321235017157,1.0000000000000002,1.0087438760778302
55,100###1000000,检查检验费,10349151,3,8279320,2069831,7615190,1902361,2465.1043403663716,2445.548227933844,0.7149587522550686,0.7123697937262267,0.9999999999999999,1.0008067788208195
56,5###10,检查检验费,10349151,4,8279320,2069831,93458,21790,3640.0139826112427,3386.093396228087,0.525729876283397,0.741135379123193,1.0,1.0597092094938174
57,10###15,检查检验费,10349151,4,8279320,2069831,73523,17702,3566.649808097324,3572.2406245347374,0.5727228746505785,0.7474731760529885,1.0,1.032239825181021
58,15###20,检查检验费,10349151,4,8279320,2069831,59175,14319,3523.8296884723873,3528.190159038134,0.606044652905569,0.7772369870248907,0.9999999999999999,1.0274679107289728
59,20###30,检查检验费,10349151,4,8279320,2069831,100575,24803,3350.042961650715,3418.150947639635,0.6132376103502227,0.71659972494653,1.0,1.0192829501995675
60,30###50,检查检验费,10349151,4,8279320,2069831,157287,38940,3363.3006036174725,3318.9217677086103,0.6266796800356577,0.6994396868322574,1.0,1.009564717759627
61,50###100,检查检验费,10349151,4,8279320,2069831,293731,73403,3002.6426901609466,3241.7128217235118,0.6363343483507713,0.7036699661567805,1.0,1.00698940717354
62,100###1000000,检查检验费,10349151,4,8279320,2069831,7356924,1837211,2338.733751647655,2324.6835398996236,0.6984115151833009,0.6964262448474271,1.0000000000000009,1.0008046868939586
63,5###10,检查检验费,10349151,5,8279320,2069831,183464,41898,3278.0322430931183,3792.0561980157986,0.5032067145270457,0.7543639305997252,1.0,1.0553312288031713
64,10###15,检查检验费,10349151,5,8279320,2069831,129617,30820,3166.5232238140343,3360.631084179366,0.5466977557977726,0.7840785525982595,1.0,1.032227722870154
65,15###20,检查检验费,10349151,5,8279320,2069831,104138,25350,2989.0262644367485,3114.581814821405,0.5686926831235413,0.6627874710499531,1.0,1.019891665037008
66,20###30,检查检验费,10349151,5,8279320,2069831,168658,41254,3208.176917858382,3629.996720860341,0.5894278323101246,0.6877625827775538,1.0000000000000002,1.017297792839663
67,30###50,检查检验费,10349151,5,8279320,2069831,255642,62810,2957.083074557728,3101.1359334292406,0.5931357145231646,0.6556840163832258,1.0000000000000002,1.013560841588739
68,50###100,检查检验费,10349151,5,8279320,2069831,430434,106640,2862.044144469488,2941.6265027573827,0.6093587363996352,0.6394694678035696,1.0000000000000002,1.0061612230610084
69,100###1000000,检查检验费,10349151,5,8279320,2069831,6671183,1666024,2135.5331128269518,2096.417218415754,0.6525799377081815,0.6464793316108449,1.0000000000000004,1.0008374037257537
70,5###10,检查检验费,10349151,6,8279320,2069831,190134,43335,3243.808613070339,3872.4447824684976,0.503270863670095,0.7770078981868861,1.0,1.0572511310486676
71,10###15,检查检验费,10349151,6,8279320,2069831,134020,31881,3126.525903784476,3361.0055996191063,0.5444298911230562,0.7356429522935372,1.0,1.0311589118177027
72,15###20,检查检验费,10349151,6,8279320,2069831,108802,26462,2978.6370715445423,3113.0538153370203,0.570035668738676,0.6600122296961822,1.0,1.0188971094356374
73,20###30,检查检验费,10349151,6,8279320,2069831,173207,42317,3187.3160829850854,3764.4320410834234,0.5862330661107363,0.690987519016959,1.0,1.0186841226919223
74,30###50,检查检验费,10349151,6,8279320,2069831,262417,64490,2984.8726044776863,3014.435517129609,0.5926221659072736,0.6544467386820191,0.9999999999999998,1.0128576034026398
75,50###100,检查检验费,10349151,6,8279320,2069831,440913,109284,2811.779366241108,2869.2890687012705,0.6090036198631356,0.6407560638262514,1.0000000000000002,1.0070526927692829
76,100###1000000,检查检验费,10349151,6,8279320,2069831,6614742,1651800,2125.397276393736,2083.6969880864217,0.6519708445613304,0.6455749433921337,0.9999999999999999,1.0008313072717303
77,5###10,检查检验费,10349151,7,8279320,2069831,264729,60092,3079.200472078662,3506.531377941458,0.49277582804523096,0.7553544503999936,1.0000000000000002,1.060670836784974
78,10###15,检查检验费,10349151,7,8279320,2069831,179728,42435,3038.6810322215565,2908.957748549799,0.534003489084665,0.6619108387522066,1.0,1.025326415107912
79,15###20,检查检验费,10349151,7,8279320,2069831,142711,34612,2887.367908666322,3002.2831881203315,0.5493773592772644,0.6372118060484133,1.0,1.0151768187886145
80,20###30,检查检验费,10349151,7,8279320,2069831,220568,53691,2853.0681013189487,3160.8270063761247,0.566142796452421,0.6406932657180787,1.0,1.016948409486747
81,30###50,检查检验费,10349151,7,8279320,2069831,323232,79772,2895.051301608737,2872.1806863204447,0.5765256932745081,0.6164101171532437,0.9999999999999998,1.0098451224104388
82,50###100,检查检验费,10349151,7,8279320,2069831,522691,129402,2606.2579550845667,2641.02975727422,0.5906793317541478,0.6113553909745952,1.0000000000000002,1.0052455270100618
83,100###1000000,检查检验费,10349151,7,8279320,2069831,6071672,1515212,2027.8671620176135,1985.8970377591686,0.6432157366613903,0.6361524691160994,1.0,1.0008049304376843
84,5###10,检查检验费,10349151,8,8279320,2069831,289947,65786,2918.5637243664455,3358.798136043844,0.4882284865186536,0.7423111405593126,0.9999999999999998,1.0578638116129506
85,10###15,检查检验费,10349151,8,8279320,2069831,194545,45675,2825.394818960089,2960.1671108499795,0.5300017276200021,0.6693563143776289,1.0,1.0263089105258736
86,15###20,检查检验费,10349151,8,8279320,2069831,156412,37950,2767.080858188552,3088.5504595437787,0.5436433769422374,0.6630721046157048,1.0,1.0237344945984534
