,最小样本数量,费用类型,记录总数,统计特征长度,原始训练数据量,原始验证数据量,训练数据可预测数据量,测试数据可预测数据量,训练数据可预测数据的均方差,测试数据可预测数据的均方差,训练数据可预测数据的O/E标准差,测试数据可预测数据的O/E标准差,训练数据可预测数据O/E均值,测试数据可预测数据O/E均值
1961,10,耗材费,4266194,3,3412955,853239,3305554,824536,6660.763489951061,6735.393957633495,1.2709289151740824,1.422824139618759,0.9999999999999999,1.0086468250177407
1962,15,耗材费,4266194,3,3412955,853239,3275266,817239,6657.988210340009,6734.959094769927,1.2731148838967061,1.3901298062658256,1.0000000000000007,1.0070999439732653
1963,20,耗材费,4266194,3,3412955,853239,3248719,810847,6662.6751247562825,6735.973881161014,1.2747749530304124,1.327590779534195,0.9999999999999989,1.0058886633885895
1964,30,耗材费,4266194,3,3412955,853239,3202687,799679,6657.7806883757585,6725.0773357585085,1.2770065125573908,1.3127746853027598,0.9999999999999994,1.0048184804671605
1965,50,耗材费,4266194,3,3412955,853239,3131619,782157,6649.398928168231,6697.7137764024665,1.2781678631178153,1.3101819569111672,1.0000000000000004,1.0043293082189484
1966,100,耗材费,4266194,3,3412955,853239,2999419,749419,6660.176325072492,6689.198063195032,1.2785448553084544,1.297395919244808,1.0,1.002826364407103
1967,5,耗材费,4266194,4,3412955,853239,3295383,820354,5986.310043564789,6064.473711109334,1.1602040021816886,1.277267314426135,0.9999999999999996,1.011587361534349
1968,10,耗材费,4266194,4,3412955,853239,3237884,806881,5992.295042434698,6038.490135132365,1.1657044081937118,1.2502219168476172,1.0,1.0086100603409092
1969,15,耗材费,4266194,4,3412955,853239,3195213,796699,5985.697019394984,6027.7875286143235,1.1686725916544005,1.2115278178771365,0.9999999999999994,1.0065516806662718
1970,20,耗材费,4266194,4,3412955,853239,3158888,788011,5978.8336403998765,6017.72919172648,1.1710556430575538,1.2072993864802866,1.0000000000000009,1.005747193005865
1971,30,耗材费,4266194,4,3412955,853239,3098891,773283,5958.209090073343,6000.910961703856,1.1738919177067189,1.1931165662019347,1.0000000000000002,1.004595041224636
1972,50,耗材费,4266194,4,3412955,853239,3008192,750944,5892.46915048661,5951.656204574106,1.175613482313236,1.1905246951992041,0.9999999999999997,1.0042709716775875
1973,100,耗材费,4266194,4,3412955,853239,2848496,711412,5746.629883300134,5814.738053855062,1.1768446884924884,1.1746465768016399,0.9999999999999996,1.002591143570876
1974,5,耗材费,4266194,5,3412955,853239,3164542,785343,5616.466702854045,5737.703016377236,1.015345707161114,1.1830861862474544,1.0000000000000004,1.0146605035069847
1975,10,耗材费,4266194,5,3412955,853239,3066592,762684,5596.019481791648,5708.26594513544,1.0230214120406433,1.1640167000863069,1.0,1.0113759387665995
1976,15,耗材费,4266194,5,3412955,853239,2995763,745771,5574.331245547053,5667.228232788665,1.0270139941038088,1.1441355290346737,0.9999999999999999,1.0091412001013482
1977,20,耗材费,4266194,5,3412955,853239,2937408,731784,5535.9241774878565,5615.321530999985,1.029764627141596,1.1274064736015263,1.0000000000000004,1.0075181605223034
1978,30,耗材费,4266194,5,3412955,853239,2845668,709340,5478.628558598217,5543.609165738405,1.0323779238763997,1.1176279746596698,1.0,1.0061150226985744
1979,50,耗材费,4266194,5,3412955,853239,2713731,676965,5380.785924537702,5441.238620158698,1.0341245938697554,1.1043778039487944,1.0,1.0052031695480617
1980,100,耗材费,4266194,5,3412955,853239,2493727,622274,5188.550391850461,5267.018907128409,1.0337858031068063,1.0938932367457117,0.9999999999999998,1.004321692352782
1981,5,耗材费,4266194,6,3412955,853239,3154087,782564,5581.793671487609,5694.99643058806,1.0096389942909174,1.1756025120683906,0.9999999999999999,1.0145292381554805
